Id,Label
316,316
131,131
356,356
363,363
75,75
108,108
132,132
85,85
333,333
102,102
0,0
222,222
288,288
3,3
72,72
84,84
15,15
340,340
71,71
355,355
408,408
177,177
7,7
54,54
150,150
349,349
8,8
51,51
144,144
