Numero;categoria
7663;['COMERCIO']
7661;['SAUDE PUBLICA']
7662;['POLITICA ECONOMICO FINANCEIRA', 'PROGRAMA DE DESENVOLVIMENTO']
7654;['FINANÇAS PUBLICAS']
7655;['POLITICA SALARIAL']
7659;['EXECUTIVO', 'PESSOAL']
7656;['POLITICA SOCIAL', 'POLITICA ENERGETICA']
7658;['ATO INTERNACIONAL']
7653;['EXECUTIVO', 'ADMINISTRAÇÃO INDIRETA']
7660;['TRIBUTOS']
7657;['POLITICA ENERGETICA']
7652;['EXECUTIVO', 'PESSOAL']
7650;['EXECUTIVO', 'ORGANIZAÇÃO ADMINISTRATIVA']
7651;['EXECUTIVO', 'PESSOAL']
7649;['POLITICA SOCIAL']
7646;['SAUDE PUBLICA']
7645;['FORÇAS ARMADAS', 'PESSOAL']
7648;['SISTEMA PENITENCIARIO']
7647;['POLITICA CULTURAL']
7644;['POLITICA SOCIAL']
7643;['POLITICA DO MEIO AMBIENTE']
7642;['EDUCAÇÃO']
7641;['UNIÃO FEDERAL', 'RECURSOS FINANCEIROS']
7640;['POLITICA DO MEIO AMBIENTE']
7637;['POLITICA SOCIAL', 'SAUDE PUBLICA']
7639;['ADMINISTRAÇÃO FEDERAL', 'COOPERAÇÃO TECNICA']
7638;['DEFESA NACIONAL']
7636;['POLITICA SOCIAL', 'ASSISTENCIA SOCIAL']
7634;['PROGRAMA DE DESENVOLVIMENTO']
7635;['INSTITUIÇÃO FINANCEIRA OFICIAL', 'ESTATUTO']
7633;['POLITICA INDUSTRIAL', 'TRIBUTOS', 'COMERCIO EXTERIOR']
7631;['TRIBUTOS']
7632;['TRIBUTOS', 'POLITICA MONETARIA']
7628;['ORÇAMENTO', 'EMPRESA ESTATAL']
7630;['EXECUTIVO', 'ORGANIZAÇÃO ADMINISTRATIVA']
7629;['EXECUTIVO', 'PESSOAL']
7627;['DIREITO PENAL']
7626;['EDUCAÇÃO']
7625;['POLITICA ECONOMICO FINANCEIRA', 'PROGRAMA DE DESENVOLVIMENTO']
7622;['UNIÃO FEDERAL', 'ORÇAMENTO']
7624;['TRANSPORTE', 'AVIAÇÃO CIVIL']
7623;['ALIMENTOS', 'ATIVIDADE PECUARIA']
7619;['TRIBUTOS']
7621;['ATO INTERNACIONAL']
7620;['REGISTRO PUBLICO', 'IMOVEL RURAL']
7618;['EXECUTIVO', 'ORGANIZAÇÃO ADMINISTRATIVA']
7611;['EDUCAÇÃO']
7613;['ADMINISTRAÇÃO FEDERAL', 'EXECUTIVO']
7615;['EXECUTIVO', 'ORGANIZAÇÃO ADMINISTRATIVA']
7610;['ATO INTERNACIONAL']
7606;['ATO INTERNACIONAL']
7612;['EDUCAÇÃO', 'POLITICA SOCIAL']
7616;['SAUDE PUBLICA']
7614;['TRIBUTOS', 'POLITICA SOCIAL']
7607;['ATO INTERNACIONAL']
7608;['ATO INTERNACIONAL']
7617;['POLITICA SOCIAL']
7609;['ATO INTERNACIONAL']
7605;['ORÇAMENTO', 'EMPRESA ESTATAL']
7604;['POLITICA INDUSTRIAL', 'TRIBUTOS', 'COMERCIO EXTERIOR']
7603;['POLITICA DE DESENVOLVIMENTO', 'TRIBUTOS']
7599;['ATO INTERNACIONAL']
7600;['POLITICA TECNOLOGICA', 'TRIBUTOS']
7598;['ADMINISTRAÇÃO FEDERAL']
7601;['COMPRAS PUBLICAS']
7602;['POLITICA SOCIAL', 'SAUDE']
7596;['ATO INTERNACIONAL']
7597;['ATO INTERNACIONAL']
7595;['ATO INTERNACIONAL']
7594;['UNIÃO FEDERAL', 'RECURSOS FINANCEIROS']
7593;['TRIBUTOS']
7591;['TRIBUTOS', 'ENERGIA']
7592;['ORGANIZAÇÃO NÃO-GOVERNAMENTAL  (ONG)', 'ADMINISTRAÇÃO PUBLICA']
7590;['EDUCAÇÃO']
7589;['EDUCAÇÃO']
7588;['FORÇAS ARMADAS', 'PESSOAL MILITAR']
7587;['FORÇAS ARMADAS', 'PESSOAL MILITAR']
7585;['ATO INTERNACIONAL']
7586;['ATO INTERNACIONAL']
7582;['ATO INTERNACIONAL']
7584;['HORARIO DE VERÃO']
7583;['POLITICA ENERGETICA', 'POLITICA SOCIAL']
7578;['TRIBUTOS', 'ESPORTE']
7581;['COMPRAS PUBLICAS']
7579;['EXECUTIVO', 'ORGANIZAÇÃO ADMINISTRATIVA']
7577;['EXECUTIVO', 'PESSOAL']
7576;['PROGRAMA DE DESENVOLVIMENTO']
7580;['EXECUTIVO', 'ORGANIZAÇÃO ADMINISTRATIVA']
7573;['LEGISLAÇÃO TRIBUTARIA']
7574;['LEGISLAÇÃO TRIBUTARIA']
7575;['UNIÃO FEDERAL', 'ORÇAMENTO']
7572;['POLITICA SOCIAL', 'POLITICA DO MEIO AMBIENTE']
7571;['POLITICA SOCIAL', 'FUNDO FINANCEIRO']
7570;['TRIBUTOS', 'ENERGIA']
7569;['ATO INTERNACIONAL']
7568;['UNIÃO FEDERAL', 'RECURSOS FINANCEIROS']
7566;['POLITICA SOCIAL', 'CREDITO RURAL']
7564;['POLITICA SOCIO ECONOMICA', 'DESENVOLVIMENTO REGIONAL']
7567;['POLITICA INDUSTRIAL', 'TRIBUTOS', 'COMERCIO EXTERIOR']
7565;['ESTATISTICA', 'INFLAÇÃO']
7562;['EDUCAÇÃO', 'SAUDE']
7563;['TRIBUTOS', 'POLITICA MONETARIA']
7561;['EXECUTIVO', 'ORGANIZAÇÃO ADMINISTRATIVA']
7560;['EXECUTIVO', 'ORGANIZAÇÃO ADMINISTRATIVA']
7559;['POLITICA CULTURAL']
7558;['UNIÃO FEDERAL', 'ORÇAMENTO']
7557;['EXECUTIVO', 'ORGANIZAÇÃO ADMINISTRATIVA']
7556;['EXECUTIVO', 'ORGANIZAÇÃO ADMINISTRATIVA']
7555;['POLITICA INDUSTRIAL', 'TRIBUTOS']
7554;['INFRAESTRUTURA AEROPORTUARIA']
7550;['EXECUTIVO', 'PESSOAL']
7549;['ATO INTERNACIONAL']
7551;['ATO INTERNACIONAL']
7553;['EXECUTIVO', 'COMISSÃO NACIONAL']
7552;['ATO INTERNACIONAL']
7548;['EXECUTIVO', 'PESSOAL']
7547;['EXECUTIVO', 'ORGANIZAÇÃO ADMINISTRATIVA', 'PESSOAL']
7541;['TRIBUTOS']
7546;['COMPRAS PUBLICAS']
7540;['POLITICA INDUSTRIAL']
7545;['ATO INTERNACIONAL']
7543;['TRIBUTOS']
7542;['TRIBUTOS']
7539;['POLITICA CIENTIFICA E TECNOLOGICA']
7544;['EDUCAÇÃO']
7538;['EXECUTIVO', 'ORGANIZAÇÃO ADMINISTRATIVA']
7537;['EXECUTIVO', 'ORGANIZAÇÃO ADMINISTRATIVA']
7535;['POLITICA SOCIAL', 'RECURSOS NATURAIS']
7536;['POLITICA MONETARIA', 'CAMBIO']
7532;['ATO INTERNACIONAL']
7533;['PREVIDENCIA SOCIAL']
7530;['EXECUTIVO', 'ORGANIZAÇÃO ADMINISTRATIVA', 'PESSOAL']
7531;['PROGRAMA NACIONAL DE DESESTATIZAÇÃO']
7534;['UNIÃO FEDERAL', 'ORÇAMENTO']
7528;['EXECUTIVO', 'ORGANIZAÇÃO ADMINISTRATIVA', 'PESSOAL']
7529;['EXECUTIVO', 'ORGANIZAÇÃO ADMINISTRATIVA']
7527;['ATO INTERNACIONAL']
7526;['EXECUTIVO', 'ORGANIZAÇÃO ADMINISTRATIVA']
7525;['TRIBUTOS']
7524;['POLITICA AGRICOLA']
7521;['POLITICA ENERGETICA']
7520;['POLITICA ENERGETICA']
7519;['EXECUTIVO', 'ORGANIZAÇÃO ADMINISTRATIVA']
7523;['POLITICA ENERGETICA']
7518;['ATO INTERNACIONAL']
7515;['EXECUTIVO', 'ORGANIZAÇÃO ADMINISTRATIVA']
7517;['ATO INTERNACIONAL']
7522;['EXECUTIVO', 'PESSOAL']
7516;['ATO INTERNACIONAL']
7514;['EXECUTIVO', 'PESSOAL']
7513;['EXECUTIVO', 'ORGANIZAÇÃO ADMINISTRATIVA']
7512;['TELECOMUNICAÇÃO']
7511;['UNIÃO FEDERAL', 'ORÇAMENTO']
7510;['PREVIDENCIA SOCIAL', 'REGULAMENTO']
7509;['POLITICA ECONOMICO FINANCEIRA']
7508;['SAUDE']
7505;['POLITICA SOCIAL', 'CALAMIDADE PUBLICA']
7506;['ATO INTERNACIONAL']
7507;['POLITICA ECONOMICO FINANCEIRA']
7503;['ATO INTERNACIONAL']
7501;['POLITICA SOCIAL']
7504;['EXECUTIVO', 'PESSOAL']
7502;['ATO INTERNACIONAL']
7500;['POLITICA NACIONAL', 'TURISMO']
7499;['POLITICA HABITACIONAL']
7498;['FORÇAS ARMADAS', 'PESSOAL MILITAR']
7497;['POLITICA DO MEIO AMBIENTE']
7496;['SEGURANÇA PUBLICA']
7495;['EXECUTIVO', 'ORGANIZAÇÃO ADMINISTRATIVA']
7491;['ATO INTERNACIONAL']
7494;['POLITICA SOCIAL']
7490;['EXECUTIVO', 'ORGANIZAÇÃO ADMINISTRATIVA']
7493;['EXECUTIVO', 'ORGANIZAÇÃO ADMINISTRATIVA']
7492;['POLITICA SOCIAL']
7489;['EXECUTIVO', 'PESSOAL']
7488;['POLITICA ECONOMICO FINANCEIRA', 'PROGRAMA DE DESENVOLVIMENTO']
7487;['TRIBUTOS']
7486;['ATO INTERNACIONAL']
7485;['POLITICA EDUCACIONAL']
7484;['ATO INTERNACIONAL']
7480;['EXECUTIVO', 'ORGANIZAÇÃO ADMINISTRATIVA']
7481;['EXECUTIVO', 'ORGANIZAÇÃO ADMINISTRATIVA']
7482;['EXECUTIVO', 'ORGANIZAÇÃO ADMINISTRATIVA']
7483;['EXECUTIVO', 'ORGANIZAÇÃO ADMINISTRATIVA']
7479;['ATO INTERNACIONAL']
7478;['EXECUTIVO', 'ORGANIZAÇÃO ADMINISTRATIVA']
7477;['UNIÃO FEDERAL', 'ORÇAMENTO']
7474;['EXECUTIVO', 'ORGANIZAÇÃO ADMINISTRATIVA']
7476;['EXECUTIVO', 'ORGANIZAÇÃO ADMINISTRATIVA']
7475;['EXECUTIVO', 'ORGANIZAÇÃO ADMINISTRATIVA']
7473;['PORTE DE ARMA']
7471;['EXECUTIVO', 'ORGANIZAÇÃO ADMINISTRATIVA']
7470;['EXECUTIVO', 'ORGANIZAÇÃO ADMINISTRATIVA']
7472;['EXECUTIVO', 'ORGANIZAÇÃO ADMINISTRATIVA']
7469;['DESENVOLVIMENTO REGIONAL']
7468;['UNIÃO FEDERAL', 'ORÇAMENTO']
7467;['FORÇAS ARMADAS', 'PESSOAL MILITAR']
7466;['EXECUTIVO', 'ORGANIZAÇÃO ADMINISTRATIVA']
7464;['EXECUTIVO', 'ORGANIZAÇÃO ADMINISTRATIVA']
7465;['EXECUTIVO', 'ORGANIZAÇÃO ADMINISTRATIVA']
7462;['EXECUTIVO', 'ORGANIZAÇÃO ADMINISTRATIVA']
7463;['ATO INTERNACIONAL']
7461;['EXECUTIVO', 'ORGANIZAÇÃO ADMINISTRATIVA']
7460;['ATO INTERNACIONAL']
7458;['TRIBUTOS']
7459;['EXECUTIVO', 'ADMINISTRAÇÃO INDIRETA']
7457;['TRIBUTOS']
7456;['TRIBUTOS']
7455;['TRIBUTOS']
7454;['TRIBUTOS']
7453;['EXECUTIVO', 'ORGANIZAÇÃO ADMINISTRATIVA']
7452;['IMOVEL']
7450;['ATO INTERNACIONAL']
7451;['TRIBUTOS']
7449;['EXECUTIVO', 'PESSOAL']
7448;['EDUCAÇÃO']
7445;['UNIÃO FEDERAL', 'ORÇAMENTO']
7446;['EXECUTIVO', 'PESSOAL']
7447;['POLITICA SOCIAL']
7444;['ATO INTERNACIONAL']
7443;['SEGURANÇA PUBLICA']
7442;['EXECUTIVO', 'ORGANIZAÇÃO ADMINISTRATIVA']
7441;['FORÇAS ARMADAS', 'PESSOAL MILITAR']
7440;['FORÇAS ARMADAS', 'PESSOAL MILITAR']
7439;['EXECUTIVO', 'ADMINISTRAÇÃO INDIRETA']
7438;['EXECUTIVO', 'ORGANIZAÇÃO ADMINISTRATIVA']
7437;['TRIBUTOS']
7436;['EXECUTIVO', 'ORGANIZAÇÃO ADMINISTRATIVA']
7435;['LEGISLAÇÃO TRIBUTARIA']
7434;['EXECUTIVO', 'ORGANIZAÇÃO ADMINISTRATIVA']
7433;['FORÇAS ARMADAS', 'PESSOAL MILITAR']
7431;['FORÇAS ARMADAS', 'PESSOAL MILITAR']
7432;['FORÇAS ARMADAS', 'PESSOAL MILITAR']
7430;['EXECUTIVO', 'ORGANIZAÇÃO ADMINISTRATIVA']
7429;['EXECUTIVO', 'PESSOAL']
7428;['DIREITOS SOCIAIS', 'FUNDO FINANCEIRO']
7427;['EXECUTIVO', 'ORGANIZAÇÃO ADMINISTRATIVA', 'SEGURANÇA PUBLICA']
7426;['EXECUTIVO', 'ORGANIZAÇÃO ADMINISTRATIVA', 'SEGURANÇA PUBLICA']
7425;['EXECUTIVO', 'ORÇAMENTO']
7424;['EXECUTIVO', 'ORGANIZAÇÃO ADMINISTRATIVA']
