Numero;categoria
6338;['TRIBUTOS']
6337;['TRIBUTOS']
6332;['ATO INTERNACIONAL']
6331;['UNIÃO FEDERAL', 'ORÇAMENTO']
6336;['ATIVIDADE PORTUARIA']
6333;['ADMINISTRAÇÃO FEDERAL']
6330;['EMPRESA ESTATAL', 'GASTOS PUBLICOS']
6334;['ADMINISTRAÇÃO FEDERAL', 'GESTÃO', 'RECURSOS FINANCEIROS']
6335;['SERVIDOR PUBLICO CIVIL', 'ANISTIA']
6329;['UNIÃO FEDERAL', 'RECURSOS FINANCEIROS']
6328;['EXECUTIVO', 'PESSOAL']
6325;['POLITICA CULTURAL']
6324;['ATO INTERNACIONAL']
6323;['POLITICA AGRICOLA']
6326;['PROGRAMA DE DESENVOLVIMENTO']
6327;['POLITICA ENERGETICA']
6321;['MEIO AMBIENTE', 'LEGISLAÇÃO PENAL']
6322;['INSTITUIÇÃO FINANCEIRA OFICIAL', 'ESTATUTO']
6314;['FUNDO CONTABIL', 'SEGUROS', 'EXPORTAÇÃO']
6316;['EXECUTIVO', 'ORGANIZAÇÃO ADMINISTRATIVA']
6317;['INSTITUTO NACIONAL DE ESTUDOS E PESQUISAS EDUCACIONAIS  (INEP)', 'ORGANIZAÇÃO ADMINISTRATIVA']
6320;['EXECUTIVO', 'ORGANIZAÇÃO ADMINISTRATIVA']
6315;['FORÇAS ARMADAS', 'PESSOAL MILITAR']
6318;['FUNDAÇÃO JOAQUIM NABUCO  (FUNDAJ)', 'ESTATUTO']
6319;['FUNDO NACIONAL DE DESENVOLVIMENTO DA EDUCAÇÃO  (FNDE)', 'ORGANIZAÇÃO ADMINISTRATIVA']
6313;['EXECUTIVO', 'ORGANIZAÇÃO ADMINISTRATIVA']
6311;['PESCA', 'SUBVENÇÃO']
6312;['ADMINISTRAÇÃO FEDERAL', 'PESSOAL']
6309;['UNIÃO FEDERAL', 'ORÇAMENTO']
6310;['UNIÃO FEDERAL', 'ORÇAMENTO']
6306;['TRIBUTOS']
6308;['LEI ORGANICA DA ASSISTENCIA SOCIAL']
6305;['REPRESENTAÇÃO EXTERNA']
