Numero;categoria
9253;['ATO INTERNACIONAL']
9256;['CULTURA']
9260;['EXECUTIVO', 'ORGANIZAÇÃO ADMINISTRATIVA', 'PESSOAL']
9257;['MEIO AMBIENTE']
9259;['EXECUTIVO', 'ORGANIZAÇÃO ADMINISTRATIVA', 'PESSOAL']
9258;['EXECUTIVO', 'ORGANIZAÇÃO ADMINISTRATIVA', 'PESSOAL']
9255;['TRABALHO', 'EMPREGO']
9254;['SAUDE PUBLICA']
9252;['MINAS']
9250;['ADMINISTRAÇÃO PUBLICA']
9249;['FORÇAS ARMADAS']
9251;['PROGRAMA NACIONAL DE DESESTATIZAÇÃO']
9248;['UNIÃO FEDERAL', 'ORÇAMENTO']
9247;['ATO INTERNACIONAL']
9246;['DIREITO PENAL']
9245;['POLITICA NACIONAL', 'COMPRAS PUBLICAS']
9244;['EXECUTIVO', 'ORGANIZAÇÃO ADMINISTRATIVA']
9243;['EXECUTIVO', 'ORGANIZAÇÃO ADMINISTRATIVA']
9240;['ORÇAMENTO', 'EMPRESA ESTATAL']
9236;['CONCESSÃO HONORIFICA']
9235;['EDUCAÇÃO']
9242;['HORARIO DE VERÃO']
9237;['EXECUTIVO', 'ORGANIZAÇÃO ADMINISTRATIVA', 'FORÇAS ARMADAS']
9239;['ATO INTERNACIONAL']
9241;['ATO INTERNACIONAL']
9238;['EXECUTIVO', 'PESSOAL']
9232;['EXECUTIVO', 'ORGANIZAÇÃO ADMINISTRATIVA', 'PESSOAL']
9233;['ATO INTERNACIONAL']
9231;['POLITICA DE DESENVOLVIMENTO']
9234;['EXECUTIVO', 'ORGANIZAÇÃO ADMINISTRATIVA', 'PESSOAL']
9225;['EXECUTIVO', 'PESSOAL']
9221;['POLITICA SOCIAL', 'POLITICA DO MEIO AMBIENTE']
9228;['EXECUTIVO', 'PESSOAL']
9229;['ATO INTERNACIONAL']
9227;['EXECUTIVO', 'PESSOAL']
9230;['ATO INTERNACIONAL']
9222;['EXECUTIVO', 'ORGANIZAÇÃO ADMINISTRATIVA']
9226;['EXECUTIVO', 'PESSOAL']
9224;['EXECUTIVO', 'PESSOAL']
9223;['POLITICA SOCIAL']
9219;['ATO INTERNACIONAL']
9218;['ATO INTERNACIONAL']
9220;['FINANÇAS PUBLICAS']
9217;['POLITICA ECONOMICO FINANCEIRA']
9216;['EXECUTIVO', 'PESSOAL']
9213;['HOMENAGEM']
9214;['POLITICA SOCIAL', 'POLITICA AGRICOLA']
9212;['HOMENAGEM']
9215;['IMPRENSA NACIONAL']
9210;['ADMINISTRAÇÃO PUBLICA', 'PARCERIA PUBLICO-PRIVADA (PPP)']
9211;['FORÇAS ARMADAS', 'ORGANIZAÇÃO']
9209;['EXECUTIVO', 'ORGANIZAÇÃO ADMINISTRATIVA']
9206;['ATO INTERNACIONAL']
9207;['ATO INTERNACIONAL']
9208;['ATO INTERNACIONAL']
9204;['EDUCAÇÃO', 'COMUNICAÇÕES']
9203;['ADMINISTRAÇÃO PUBLICA', 'EXECUTIVO']
9200;['ATO INTERNACIONAL']
9201;['ATO INTERNACIONAL']
9202;['ATO INTERNACIONAL']
9199;['ESTRANGEIRO']
9198;['EXECUTIVO', 'ORGANIZAÇÃO ADMINISTRATIVA']
9197;['POLITICA SOCIAL', 'SEGURANÇA PUBLICA']
9196;['EXECUTIVO', 'ADMINISTRAÇÃO INDIRETA']
9195;['COMERCIO EXTERIOR']
9194;['ADMINISTRAÇÃO INDIRETA', 'DIVIDA ATIVA']
9192;['ENERGIA ELETRICA']
9193;['EXECUTIVO', 'ORGANIZAÇÃO ADMINISTRATIVA']
9190;['SERVIÇOS PUBLICOS']
9189;['EXECUTIVO', 'ORGANIZAÇÃO ADMINISTRATIVA']
9185;['ADMINISTRAÇÃO FEDERAL', 'PESSOAL']
9191;['PROCESSO LEGISLATIVO']
9186;['EXECUTIVO', 'ORGANIZAÇÃO ADMINISTRATIVA']
9187;['POLITICA ENERGETICA']
9188;['ADMINISTRAÇÃO INDIRETA', 'LICITAÇÃO']
9184;['ATO INTERNACIONAL']
9183;['EXECUTIVO', 'ORGANIZAÇÃO ADMINISTRATIVA', 'PESSOAL']
9182;['FORÇAS ARMADAS', 'CONCESSÃO HONORIFICA']
9181;['FINANÇAS PUBLICAS']
9180;['DESESTATIZAÇÃO']
9179;['POLITICA DO MEIO AMBIENTE']
9177;['MEIO AMBIENTE']
9178;['MEIO AMBIENTE']
9176;['ATO INTERNACIONAL']
9175;['SAUDE']
9173;['PROGRAMA NACIONAL DE DESESTATIZAÇÃO']
9174;['DESESTATIZAÇÃO', 'ENERGIA']
9171;['EDUCAÇÃO', 'FORÇAS ARMADAS']
9172;['POLITICA DO MEIO AMBIENTE']
9170;['ATO INTERNACIONAL']
9169;['EXECUTIVO', 'ORGANIZAÇÃO ADMINISTRATIVA']
9168;['ATO INTERNACIONAL']
9167;['ATO INTERNACIONAL']
9165;['ATO INTERNACIONAL']
9166;['ATO INTERNACIONAL']
9164;['UNIÃO FEDERAL', 'ORÇAMENTO']
9163;['EXECUTIVO', 'ORGANIZAÇÃO ADMINISTRATIVA', 'PESSOAL']
9162;['ADMINISTRAÇÃO FEDERAL', 'PESSOAL']
9161;['POLITICA ECONOMICO FINANCEIRA']
9160;['POLITICA SOCIAL']
9159;['MINERIO']
9158;['POLITICA ENERGETICA']
9156;['ATO INTERNACIONAL']
9157;['EXECUTIVO', 'ORGANIZAÇÃO ADMINISTRATIVA']
9155;['ADMINISTRAÇÃO PUBLICA', 'DESESTATIZAÇÃO']
9152;['ATO INTERNACIONAL']
9151;['ATO INTERNACIONAL']
9153;['ATO INTERNACIONAL']
9154;['POLITICA ECONOMICO FINANCEIRA', 'PROGRAMA DE DESENVOLVIMENTO']
9150;['EXECUTIVO', 'ORGANIZAÇÃO ADMINISTRATIVA', 'PESSOAL']
9148;['TRIBUTOS']
9147;['MINERIO']
9149;['CIDADANIA', 'EXECUTIVO', 'PESSOAL']
9146;['FORÇAS ARMADAS', 'PESSOAL MILITAR']
9145;['DIREITO AUTORAL']
9140;['ATO INTERNACIONAL']
9144;['ADMINISTRAÇÃO FEDERAL', 'PESSOAL']
9142;['MINERIO']
9141;['ATO INTERNACIONAL']
9139;['ATO INTERNACIONAL']
9143;['POLITICA ENERGETICA']
9138;['TELECOMUNICAÇÃO']
9137;['EXECUTIVO', 'ORGANIZAÇÃO ADMINISTRATIVA', 'PESSOAL']
9136;['ALTERAÇÃO', 'REGULAMENTAÇÃO', 'UTILIZAÇÃO', 'CONCESSÃO HONORIFICA', 'CONDECORAÇÃO', 'UNIFORME', 'MILITAR']
9135;['ATO INTERNACIONAL']
9134;['ATO INTERNACIONAL']
9133;['ATO INTERNACIONAL']
9132;['ATO INTERNACIONAL']
9130;['ATO INTERNACIONAL']
9129;['FORÇAS ARMADAS']
9128;['COMERCIO EXTERIOR', 'TRIBUTOS']
9131;['ATO INTERNACIONAL']
9127;['LEGISLAÇÃO TRABALHISTA']
9125;['EXECUTIVO', 'ORGANIZAÇÃO ADMINISTRATIVA', 'PESSOAL']
9124;['EXECUTIVO', 'PESSOAL']
9126;['UNIÃO FEDERAL', 'ORÇAMENTO']
9121;['EXECUTIVO', 'ORGANIZAÇÃO ADMINISTRATIVA', 'PESSOAL']
9119;['FORÇAS ARMADAS', 'PESSOAL MILITAR']
9118;['FORÇAS ARMADAS', 'PESSOAL MILITAR']
9120;['FORÇAS ARMADAS', 'PESSOAL MILITAR']
9122;['EXECUTIVO', 'ORGANIZAÇÃO ADMINISTRATIVA', 'PESSOAL']
9123;['ATO INTERNACIONAL']
9116;['EXECUTIVO', 'ORGANIZAÇÃO ADMINISTRATIVA']
9117;['PROGRAMA NACIONAL DE DESESTATIZAÇÃO']
9115;['ATO INTERNACIONAL']
9114;['EXECUTIVO', 'ORGANIZAÇÃO ADMINISTRATIVA', 'PESSOAL']
9112;['FINANÇAS PUBLICAS', 'LEGISLAÇÃO FISCAL', 'TRIBUTOS']
9113;['UNIÃO FEDERAL', 'ORÇAMENTO']
9109;['FINANÇAS PUBLICAS']
9111;['PREVIDENCIA SOCIAL']
9110;['EXECUTIVO', 'ORGANIZAÇÃO ADMINISTRATIVA', 'PESSOAL']
9107;['INDUSTRIA', 'COMERCIO EXTERIOR']
9106;['EXECUTIVO', 'ORGANIZAÇÃO ADMINISTRATIVA', 'PESSOAL']
9108;['DIREITO DO TRABALHO']
9105;['EXECUTIVO', 'ORGANIZAÇÃO ADMINISTRATIVA', 'REGISTRO PUBLICO']
9104;['EXECUTIVO', 'ORGANIZAÇÃO ADMINISTRATIVA', 'PESSOAL']
9103;['ENERGIA ELETRICA']
9102;['EXECUTIVO', 'ORGANIZAÇÃO ADMINISTRATIVA', 'PESSOAL']
9101;['TRIBUTOS']
9100;['ATO INTERNACIONAL']
9099;['EDUCAÇÃO']
9096;['ATO INTERNACIONAL']
9098;['POLITICA AGRARIA']
9097;['ATO INTERNACIONAL']
9094;['SERVIÇO PUBLICO', 'DESBUROCRATIZAÇÃO']
9093;['ATO INTERNACIONAL']
9095;['ATO INTERNACIONAL']
9092;['EXECUTIVO', 'PESSOAL']
9091;['ATO INTERNACIONAL']
9090;['CRIAÇÃO', 'MEDALHA', 'OFICIAIS', 'TRANSPORTE AQUATICO', 'MARINHA MERCANTE']
9088;['ESTATUTO DOS MILITARES']
9089;['ATO INTERNACIONAL']
9086;['UNIÃO FEDERAL', 'ORÇAMENTO']
9087;['REPRESENTAÇÃO EXTERNA']
9084;['POLITICA HABITACIONAL']
9085;['EXECUTIVO', 'ORGANIZAÇÃO ADMINISTRATIVA', 'PESSOAL']
9083;['POLITICA MONETARIA']
9082;['MEIO AMBIENTE']
9081;['DIREITO AUTORAL']
9080;['ATO INTERNACIONAL']
9079;['ORGANIZAÇÃO ADMINISTRATIVA', 'EXECUTIVO']
9078;['POLITICA ECONOMICO FINANCEIRA', 'POLITICA AGRARIA', 'ADMINISTRAÇÃO INDIRETA']
9077;['FORÇAS ARMADAS']
9076;['POLITICA NACIONAL', 'DESENVOLVIMENTO URBANO']
9075;['EXECUTIVO', 'ORGANIZAÇÃO ADMINISTRATIVA']
9074;['ATO INTERNACIONAL']
9073;['ATO INTERNACIONAL']
9072;['ATO INTERNACIONAL']
9071;['ATO INTERNACIONAL']
9070;['ATO INTERNACIONAL']
9065;['ATO INTERNACIONAL']
9064;['POLITICA FUNDIARIA', 'POLITICA AGRARIA']
9066;['POLITICA AGRARIA']
9068;['UNIÃO FEDERAL', 'ORÇAMENTO']
9069;['SAUDE PUBLICA']
9067;['EXECUTIVO', 'ORGANIZAÇÃO ADMINISTRATIVA', 'PESSOAL']
9063;['EXECUTIVO', 'ORGANIZAÇÃO ADMINISTRATIVA']
9062;['UNIÃO FEDERAL', 'ORÇAMENTO']
9060;['EXECUTIVO', 'ORGANIZAÇÃO ADMINISTRATIVA', 'PESSOAL']
9061;['ATO INTERNACIONAL']
9057;['EDUCAÇÃO']
9059;['TRANSPORTE']
9058;['EXECUTIVO', 'PESSOAL']
9056;['FINANÇAS PUBLICAS']
9055;['ATO INTERNACIONAL']
9054;['EXECUTIVO', 'ORGANIZAÇÃO ADMINISTRATIVA', 'PESSOAL']
9052;['EXECUTIVO', 'ADMINISTRAÇÃO INDIRETA']
9053;['EXECUTIVO', 'ORGANIZAÇÃO ADMINISTRATIVA', 'PESSOAL']
9049;['FORÇAS ARMADAS', 'PESSOAL MILITAR']
9051;['DEFESA', 'TELECOMUNICAÇÃO']
9050;['EXECUTIVO', 'PESSOAL']
9047;['ENERGIA']
9048;['ATIVIDADE PORTUARIA']
9046;['ORÇAMENTO']
9045;['ATO INTERNACIONAL']
9044;['EXECUTIVO', 'ORGANIZAÇÃO ADMINISTRATIVA']
9043;['EXECUTIVO', 'ORGANIZAÇÃO ADMINISTRATIVA']
9042;['MINAS', 'ENERGIA']
9041;['POLITICA ENERGETICA']
9040;['UNIÃO FEDERAL', 'ORÇAMENTO']
9039;['ATO INTERNACIONAL']
9038;['EXECUTIVO', 'ORGANIZAÇÃO ADMINISTRATIVA', 'PESSOAL']
9037;['POLITICA ECONOMICO FINANCEIRA']
9034;['EDUCAÇÃO', 'POLITICA SOCIAL']
9035;['EXECUTIVO', 'ORGANIZAÇÃO ADMINISTRATIVA', 'PESSOAL']
9036;['ADMINISTRAÇÃO PUBLICA', 'PARCERIA PUBLICO-PRIVADA (PPP)']
9033;['ATO INTERNACIONAL']
9032;['EXECUTIVO', 'ORGANIZAÇÃO ADMINISTRATIVA', 'TRANSPORTE FERROVIARIO']
9031;['EXECUTIVO', 'ORGANIZAÇÃO ADMINISTRATIVA', 'PESSOAL']
9030;['EXECUTIVO', 'ORGANIZAÇÃO ADMINISTRATIVA', 'PESSOAL']
9029;['EXECUTIVO', 'ORGANIZAÇÃO ADMINISTRATIVA']
9028;['EXECUTIVO', 'ORGANIZAÇÃO ADMINISTRATIVA']
9027;['FORÇAS ARMADAS']
9023;['EXECUTIVO', 'ORGANIZAÇÃO ADMINISTRATIVA', 'FORÇAS ARMADAS']
9025;['EXECUTIVO', 'ORGANIZAÇÃO ADMINISTRATIVA']
9026;['FORÇAS ARMADAS']
9024;['EXECUTIVO', 'ORGANIZAÇÃO ADMINISTRATIVA']
9022;['ENERGIA']
9020;['TRIBUTOS']
9021;['EXECUTIVO', 'ORGANIZAÇÃO ADMINISTRATIVA', 'PESSOAL']
9017;['TRIBUTOS']
9018;['UNIÃO FEDERAL', 'ORÇAMENTO']
9019;['POLITICA ENERGETICA']
9016;['EXECUTIVO', 'ORGANIZAÇÃO ADMINISTRATIVA']
9014;['ATO INTERNACIONAL']
9015;['EXECUTIVO', 'ORGANIZAÇÃO ADMINISTRATIVA', 'PESSOAL']
9013;['SAUDE PUBLICA']
9012;['EXECUTIVO', 'ORGANIZAÇÃO ADMINISTRATIVA', 'PESSOAL']
