Numero;categoria
7061;['POLITICA CULTURAL']
7060;['TRIBUTOS']
7059;['POLITICA AGRICOLA', 'SUBVENÇÃO']
7058;['POLITICA MONETARIA']
7057;['UNIÃO FEDERAL', 'ORÇAMENTO']
7056;['FUNDAÇÃO NACIONAL DO INDIO  (FUNAI)', 'ESTATUTO']
7054;['PREVIDENCIA SOCIAL', 'REGULAMENTO']
7055;['POLITICA ECONOMICO FINANCEIRA']
7051;['PROGRAMA DE DESENVOLVIMENTO']
7050;['EXECUTIVO', 'ORGANIZAÇÃO ADMINISTRATIVA']
7052;['DIREITOS SOCIAIS', 'LICENÇA', 'MATERNIDADE']
7048;['POLITICA AGRICOLA']
7049;['SUPERINTENDENCIA DE SEGUROS PRIVADOS  (SUSEP)', 'ORGANIZAÇÃO ADMINISTRATIVA']
7053;['POLITICA SOCIAL']
7042;['UNIÃO FEDERAL', 'ORÇAMENTO']
7044;['TRIBUTOS', 'COMERCIO EXTERIOR']
7039;['ATO INTERNACIONAL']
7043;['SECRETARIA ESPECIAL', 'MULHER', 'ORGANIZAÇÃO ADMINISTRATIVA']
7046;['INDULTO']
7041;['ATO INTERNACIONAL']
7040;['ATO INTERNACIONAL']
7045;['POLITICA AGRARIA', 'ALIMENTAÇÃO ANIMAL', 'DEFESA SANITARIA ANIMAL']
7047;['HOMENAGEM']
7038;['POLITICA SOCIAL', 'POLITICA TECNOLOGICA']
7037;['POLITICA SOCIAL', 'DIREITOS HUMANOS']
7036;['UNIÃO FEDERAL', 'ORÇAMENTO']
7035;['EMPRESA ESTATAL', 'GASTOS PUBLICOS']
7033;['ESPORTE', 'OLIMPIADAS']
7034;['ESPORTE', 'FUTEBOL']
7032;['TRIBUTOS']
7031;['POLITICA ECONOMICO FINANCEIRA']
7030;['ATO INTERNACIONAL']
7029;['POLITICA FUNDIARIA', 'POLITICA DO MEIO AMBIENTE']
7028;['ADMINISTRAÇÃO FEDERAL', 'PESSOAL']
7027;['UNIÃO FEDERAL', 'ORÇAMENTO']
7026;['DIREITOS SOCIAIS', 'FUNDO FINANCEIRO']
7023;['ATO INTERNACIONAL']
7024;['PRESIDENCIA DA REPUBLICA', 'ORGANIZAÇÃO ADMINISTRATIVA']
7025;['PROGRAMA DE DESENVOLVIMENTO']
7022;['POLITICA NACIONAL', 'EDUCAÇÃO']
7021;['POLITICA ECONOMICO FINANCEIRA']
7019;['ATO INTERNACIONAL']
7020;['ATO INTERNACIONAL']
7018;['FORÇAS ARMADAS', 'PESSOAL MILITAR']
7016;['TRIBUTOS']
7017;['TRIBUTOS']
7015;['EXECUTIVO', 'PESSOAL']
7014;['EXECUTIVO', 'PESSOAL']
7013;['POLITICA SOCIAL']
7012;['POLITICA CULTURAL', 'CONCESSÃO HONORIFICA']
7011;['TRIBUTOS', 'MERCADO DE CAPITAIS']
7010;['INFORMATICA', 'TRIBUTOS']
7009;['SEGURANÇA NACIONAL']
7008;['POLITICA DO MEIO AMBIENTE']
7007;['BANCO NACIONAL DO DESENVOLVIMENTO ECONOMICO E SOCIAL  (BNDES)', 'ESTATUTO']
7006;['FORÇAS ARMADAS', 'MARINHA', 'ORGANIZAÇÃO MILITAR  (OM)']
7002;['FORÇAS ARMADAS', 'PESSOAL MILITAR']
7000;['POLITICA CULTURAL', 'CINEMA']
7001;['FORÇAS ARMADAS', 'PESSOAL MILITAR']
7003;['ADMINISTRAÇÃO FEDERAL', 'PESSOAL']
7004;['SERVIÇO PUBLICO', 'ALFANDEGA']
7005;['EXECUTIVO', 'PESSOAL']
6999;['SEGUROS']
6998;['ADMINISTRAÇÃO FEDERAL']
6997;['EMPRESA ESTATAL', 'GASTOS PUBLICOS']
6996;['TRIBUTOS']
6995;['ADMINISTRAÇÃO FEDERAL']
6994;['ATO INTERNACIONAL']
6992;['POLITICA FUNDIARIA']
6993;['UNIÃO FEDERAL', 'ORÇAMENTO']
6990;['DIVIDA ATIVA', 'DEFESA NACIONAL']
6991;['POLITICA SOCIAL', 'POLITICA TECNOLOGICA']
6989;['REPRESENTAÇÃO EXTERNA']
6988;['EXECUTIVO', 'PESSOAL']
6984;['TRIBUTOS']
6985;['FUNDO NACIONAL DO MEIO AMBIENTE']
6986;['POLITICA NACIONAL', 'EDUCAÇÃO']
6987;['CONCESSÃO HONORIFICA']
6983;['TRIBUTOS']
6982;['POLITICA ECONOMICO FINANCEIRA', 'PROGRAMA DE DESENVOLVIMENTO']
6980;['ADMINISTRAÇÃO FEDERAL']
6981;['POLITICA DO MEIO AMBIENTE', 'ADMINISTRAÇÃO FEDERAL']
6979;['COMISSÃO INTERMINISTERIAL PARA OS RECURSOS DO MAR  (CIRM)', 'MINISTERIO DA DEFESA', 'MARINHA']
6978;['POLITICA SOCIAL']
6976;['UNIÃO FEDERAL', 'SISTEMA', 'CONTABILIDADE']
6977;['POLITICA AGRICOLA']
6973;['POLITICA CULTURAL']
6975;['ATO INTERNACIONAL']
6974;['ATO INTERNACIONAL']
6964;['ATO INTERNACIONAL']
6970;['AVIAÇÃO CIVIL']
6971;['POLITICA DO MEIO AMBIENTE', 'CLIMA']
6968;['ATO INTERNACIONAL']
6972;['MINISTERIO', 'PESCA', 'AQUICULTURA', 'ORGANIZAÇÃO ADMINISTRATIVA']
6965;['ATO INTERNACIONAL']
6969;['POLITICA DO MEIO AMBIENTE']
6966;['EXECUTIVO', 'PESSOAL']
6967;['ADMINISTRAÇÃO FEDERAL', 'PESSOAL']
6963;['ATO INTERNACIONAL']
6962;['POLITICA HABITACIONAL', 'POLITICA FUNDIARIA']
6961;['POLITICA DO MEIO AMBIENTE', 'POLITICA FUNDIARIA']
6960;['BANCOS', 'MERCADO DE CAPITAIS']
6959;['POLITICA SOCIAL']
6958;['PROGRAMA DE DESENVOLVIMENTO']
6957;['PREVIDENCIA SOCIAL', 'REGULAMENTO']
6956;['TRIBUTOS', 'COMERCIO EXTERIOR']
6955;['EXECUTIVO', 'ORGANIZAÇÃO ADMINISTRATIVA']
6954;['EMPRESA ESTATAL', 'GASTOS PUBLICOS']
6953;['EMPRESA BINACIONAL', 'CAPITAL SOCIAL']
6952;['POLITICA SOCIO ECONOMICA', 'DESENVOLVIMENTO REGIONAL']
6951;['INSTITUIÇÃO FINANCEIRA OFICIAL', 'CAPITAL SOCIAL']
6950;['CONSELHO CONSULTIVO DA ADMINISTRAÇÃO DE SAUDE PREVIDENCIARIA 1990  (CONASP)']
6949;['ATO INTERNACIONAL']
6948;['POLITICA SOCIAL', 'POLITICA CIENTIFICA E TECNOLOGICA']
6947;['MARINHA MERCANTE']
6944;['ADMINISTRAÇÃO FEDERAL']
6945;['PREVIDENCIA SOCIAL', 'REGULAMENTO']
6946;['DEFESA SANITARIA']
6943;['ATO INTERNACIONAL']
6939;['PREVIDENCIA SOCIAL', 'REGULAMENTO']
6942;['POLITICA DE SANEAMENTO BASICO']
6940;['INSTITUIÇÃO FINANCEIRA OFICIAL', 'ESTATUTO']
6941;['MINISTERIO DA DEFESA', 'SIMBOLO']
6937;['ATO INTERNACIONAL']
6936;['ATO INTERNACIONAL']
6938;['POLITICA CIENTIFICA E TECNOLOGICA']
6935;['ATO INTERNACIONAL']
6934;['INSTITUTO NACIONAL DO SEGURO SOCIAL  (INSS)', 'ORGANIZAÇÃO ADMINISTRATIVA']
6933;['EXECUTIVO', 'ORGANIZAÇÃO ADMINISTRATIVA']
6931;['PRESIDENCIA DA REPUBLICA', 'ORGANIZAÇÃO ADMINISTRATIVA']
6932;['SERVIÇO PUBLICO', 'DESBUROCRATIZAÇÃO']
6926;['POLITICA SOCIAL']
6928;['FORÇAS ARMADAS', 'PESSOAL MILITAR']
6930;['ADMINISTRAÇÃO PUBLICA']
6925;['ATO INTERNACIONAL']
6929;['EXECUTIVO', 'ORGANIZAÇÃO ADMINISTRATIVA']
6927;['PREVIDENCIA SOCIAL']
6922;['PREVIDENCIA SOCIAL', 'MUNICIPIOS']
6924;['POLITICA SOCIAL', 'DEFESA', 'MULHER']
6923;['UNIÃO FEDERAL', 'ORÇAMENTO']
6921;['PROGRAMA DE DESENVOLVIMENTO']
6920;['EXECUTIVO', 'ORGANIZAÇÃO ADMINISTRATIVA']
6918;['EXECUTIVO', 'PESSOAL']
6917;['POLITICA SOCIAL']
6919;['ADMINISTRAÇÃO FEDERAL', 'PESSOAL']
6916;['EXECUTIVO', 'ORGANIZAÇÃO ADMINISTRATIVA']
6915;['MEIO AMBIENTE', 'BIODIVERSIDADE']
6914;['EMPRESA ESTATAL', 'GASTOS PUBLICOS']
6913;['AGROTOXICO']
6911;['MINISTERIO DA DEFESA', 'TRANSPORTE AEREO']
6912;['TRIBUTOS']
6910;['POLITICA AGRICOLA']
6909;['TRIBUTOS']
6906;['ADMINISTRAÇÃO FEDERAL', 'PESSOAL']
6908;['POLITICA SOCIAL', 'PREMIO']
6907;['ADMINISTRAÇÃO FEDERAL', 'PESSOAL']
6904;['TRIBUTOS']
6905;['TRIBUTOS']
6902;['POLITICA ENERGETICA']
6903;['ATO INTERNACIONAL']
6901;['ADMINISTRAÇÃO FEDERAL']
6898;['FORÇAS ARMADAS', 'PESSOAL MILITAR']
6900;['PREVIDENCIA SOCIAL']
6899;['PESQUISA CIENTIFICA E TECNOLOGICA']
6896;['ATO INTERNACIONAL']
6895;['EXECUTIVO', 'PESSOAL']
6897;['ATO INTERNACIONAL']
6894;['EXECUTIVO', 'PESSOAL']
6892;['PROGRAMA NACIONAL DE DESESTATIZAÇÃO']
6893;['LEI DOS ESTRANGEIROS']
6891;['ATO INTERNACIONAL']
6890;['TRIBUTOS']
6889;['POLITICA ECONOMICO FINANCEIRA']
6883;['FORÇAS ARMADAS', 'MARINHA', 'ENSINO MILITAR']
6888;['POLITICA FUNDIARIA', 'UNIÃO FEDERAL', 'IMOVEL']
6887;['TRIBUTOS']
6884;['REGISTRO PUBLICO', 'ATIVIDADE COMERCIAL']
6886;['FAUNA', 'Animal Doméstico']
6885;['DIREITOS SOCIAIS', 'FUNDO FINANCEIRO']
6882;['POLITICA AGRICOLA', 'POLITICA DO MEIO AMBIENTE']
6881;['ATO INTERNACIONAL', 'ENERGIA NUCLEAR']
6877;['SISTEMA PENITENCIARIO', 'SEGURANÇA PUBLICA']
6878;['FUNDAÇÃO NACIONAL DE SAUDE', 'ESTATUTO']
6879;['ATO INTERNACIONAL']
6880;['ATO INTERNACIONAL']
6875;['TRIBUTOS']
6876;['POLITICA ECONOMICO FINANCEIRA', 'PROGRAMA DE DESENVOLVIMENTO']
6874;['POLITICA DO MEIO AMBIENTE']
6872;['POLITICA SOCIAL', 'DISCRIMINAÇÃO RACIAL']
6873;['REPRESENTAÇÃO EXTERNA', 'REGULAMENTO']
6869;['TRANSPORTE MARITIMO', 'SEGURANÇA PUBLICA']
6871;['SAUDE PUBLICA', 'INSPEÇÃO SANITARIA']
6870;['POLITICA ADUANEIRA']
6868;['TELECOMUNICAÇÃO']
6864;['ATO INTERNACIONAL']
6866;['EXECUTIVO', 'PESSOAL']
6865;['ATO INTERNACIONAL']
6867;['UNIÃO FEDERAL', 'ORÇAMENTO']
6863;['ADMINISTRAÇÃO FEDERAL', 'PESSOAL']
6861;['POLITICA INDIGENISTA', 'EDUCAÇÃO']
6860;['MINISTERIO DA SAUDE  (MS)', 'ORGANIZAÇÃO ADMINISTRATIVA']
6862;['EXECUTIVO', 'PESSOAL']
6856;['ADMINISTRAÇÃO FEDERAL', 'PESSOAL']
6855;['EXECUTIVO', 'PESSOAL']
6859;['ATO INTERNACIONAL']
6854;['FORÇAS ARMADAS', 'PESSOAL MILITAR']
6858;['ATO INTERNACIONAL']
6857;['PREVIDENCIA SOCIAL', 'REGULAMENTO']
6852;['ADMINISTRAÇÃO FEDERAL', 'PESSOAL']
6853;['FUNDAÇÃO CULTURAL PALMARES  (FCP)', 'ESTATUTO']
6848;['POLITICA DO MEIO AMBIENTE']
6850;['EXECUTIVO', 'PESSOAL']
6849;['EXECUTIVO', 'PESSOAL']
6851;['ATO INTERNACIONAL']
6847;['EXECUTIVO', 'PESSOAL']
6846;['ATO INTERNACIONAL']
6844;['INSTITUTO DO PATRIMONIO HISTORICO E ARTISTICO NACIONAL  (IPHAN)', 'REGIMENTO']
6843;['TRIBUTOS']
6841;['CONSELHO DE RECURSOS DO SISTEMA FINANCEIRO NACIONAL  (CRSFN)', 'ORGANIZAÇÃO ADMINISTRATIVA']
6842;['TRIBUTOS']
6845;['AUTARQUIA FEDERAL', 'REGIMENTO']
6840;['EXECUTIVO', 'ORGANIZAÇÃO ADMINISTRATIVA']
6839;['REPRESENTAÇÃO EXTERNA']
6837;['FORÇAS ARMADAS', 'PESSOAL MILITAR']
6836;['REPRESENTAÇÃO EXTERNA', 'REGULAMENTO']
6838;['FORÇAS ARMADAS', 'PESSOAL MILITAR']
6835;['EXECUTIVO', 'ORGANIZAÇÃO ADMINISTRATIVA']
6834;['FORÇAS ARMADAS', 'PESSOAL MILITAR']
6832;['ATO INTERNACIONAL']
6833;['EXECUTIVO', 'PESSOAL']
6831;['ATO INTERNACIONAL']
6828;['REGISTRO PUBLICO', 'REGISTRO CIVIL']
6830;['POLITICA FUNDIARIA']
6829;['POLITICA FUNDIARIA']
6827;['DIREITOS SOCIAIS', 'FUNDO FINANCEIRO']
6826;['TRIBUTOS']
6825;['TRIBUTOS']
6824;['POLITICA SOCIAL']
6822;['MARINHA', 'PESSOAL MILITAR']
6823;['TRIBUTOS']
6821;['EXECUTIVO', 'ORGANIZAÇÃO ADMINISTRATIVA']
6819;['POLITICA HABITACIONAL', 'POLITICA FUNDIARIA']
6820;['POLITICA HABITACIONAL', 'POLITICA FUNDIARIA']
6818;['EMPRESA DE CAPITAL ABERTO', 'CAPITAL SOCIAL']
6817;['PORTE DE ARMA']
6816;['PROGRAMA NACIONAL DE DESESTATIZAÇÃO', 'TRANSPORTE FERROVIARIO']
6814;['COMERCIO EXTERIOR']
6815;['AVIAÇÃO CIVIL']
6812;['EXECUTIVO', 'ORGANIZAÇÃO ADMINISTRATIVA']
6813;['EXECUTIVO', 'ORGANIZAÇÃO ADMINISTRATIVA']
6811;['EXECUTIVO', 'PESSOAL']
6809;['TRIBUTOS']
6810;['TRIBUTOS', 'DESENVOLVIMENTO REGIONAL']
6808;['UNIÃO FEDERAL', 'ORÇAMENTO']
6805;['SERVIÇO POSTAL', 'CORREIO']
6807;['PROGRAMA DE DESENVOLVIMENTO']
6806;['FORÇAS ARMADAS', 'CERIMONIAL MILITAR', 'HOMENAGEM']
6804;['SEGURIDADE SOCIAL']
6803;['EXECUTIVO', 'ADMINISTRAÇÃO INDIRETA']
6800;['POLITICA NACIONAL', 'IDOSO']
6802;['PROGRAMA NACIONAL DE DESESTATIZAÇÃO']
6801;['ATO INTERNACIONAL']
6796;['INSTITUIÇÃO FINANCEIRA OFICIAL', 'ESTATUTO']
6797;['ATO INTERNACIONAL']
6798;['ATO INTERNACIONAL']
6799;['CRUZ VERMELHA', 'ESTATUTO']
6795;['ESTATUTO', 'TORCEDOR']
6794;['EMPRESA PUBLICA', 'TELECOMUNICAÇÃO']
6792;['POLITICA DO MEIO AMBIENTE']
6793;['EXECUTIVO', 'PESSOAL']
6791;['SERVIÇO FEDERAL DE PROCESSAMENTO DE DADOS  (SERPRO)', 'ESTATUTO']
6790;['EXERCITO', 'CORPO DE OFICIAIS DA RESERVA DO EXERCITO  (CORE)', 'REGULAMENTO']
6787;['POLICIA MILITAR', 'CORPO DE BOMBEIROS', 'REGULAMENTO']
6788;['FORÇAS ARMADAS', 'PESSOAL MILITAR']
6789;['CONCESSÃO HONORIFICA', 'MILITAR']
6785;['EXECUTIVO', 'PESSOAL']
6786;['EXECUTIVO', 'PESSOAL']
6784;['FORÇAS ARMADAS', 'ORGANIZAÇÃO MILITAR  (OM)']
6783;['ATO INTERNACIONAL']
6774;['REPRESENTAÇÃO EXTERNA']
6779;['EXECUTIVO', 'PESSOAL']
6777;['REPRESENTAÇÃO EXTERNA']
6775;['REPRESENTAÇÃO EXTERNA']
6772;['PESCA']
6781;['PROGRAMA NACIONAL DE DESESTATIZAÇÃO']
6780;['TRANSPORTE AEREO']
6776;['REPRESENTAÇÃO EXTERNA']
6773;['REPRESENTAÇÃO EXTERNA']
6778;['REPRESENTAÇÃO EXTERNA']
6782;['ATO INTERNACIONAL']
6771;['ATO INTERNACIONAL']
6766;['ATO INTERNACIONAL']
6768;['EDUCAÇÃO']
6770;['TRIBUTOS']
6767;['ATO INTERNACIONAL']
6764;['EXECUTIVO', 'ORGANIZAÇÃO ADMINISTRATIVA']
6765;['PREVIDENCIA SOCIAL']
6769;['TRANSPORTE FERROVIARIO']
6759;['COMERCIO EXTERIOR']
6761;['TRIBUTOS']
6762;['ATO INTERNACIONAL']
6760;['POLITICA AGRICOLA']
6763;['ATO INTERNACIONAL']
6758;['ATO INTERNACIONAL']
6757;['ATO INTERNACIONAL']
6756;['COMISSÃO INTERMINISTERIAL PARA OS RECURSOS DO MAR  (CIRM)', 'MINISTERIO DA DEFESA', 'MARINHA']
6755;['EDUCAÇÃO']
6753;['ATO INTERNACIONAL']
6754;['POLITICA FUNDIARIA', 'UNIÃO FEDERAL', 'IMOVEL']
6752;['UNIÃO FEDERAL', 'ORÇAMENTO']
6751;['EXECUTIVO', 'PESSOAL']
6750;['EXECUTIVO', 'PESSOAL']
6749;['FORÇAS ARMADAS', 'SERVIÇO MILITAR']
6747;['ATO INTERNACIONAL']
6748;['ATO INTERNACIONAL']
6746;['PESCA']
6744;['EXECUTIVO', 'PESSOAL']
6745;['POLICIA MILITAR', 'CORPO DE BOMBEIROS', 'REGULAMENTO']
6743;['TRIBUTOS']
6742;['UNIÃO FEDERAL', 'ORÇAMENTO']
6741;['FORÇAS ARMADAS', 'PESSOAL MILITAR']
6739;['FORÇAS ARMADAS', 'PESSOAL MILITAR']
6740;['FORÇAS ARMADAS', 'PESSOAL MILITAR']
6737;['ATO INTERNACIONAL']
6732;['ATO INTERNACIONAL']
6735;['ATO INTERNACIONAL']
6738;['ATO INTERNACIONAL']
6734;['ATO INTERNACIONAL']
6728;['ATO INTERNACIONAL']
6725;['POLITICA DO MEIO AMBIENTE']
6727;['PREVIDENCIA SOCIAL', 'REGULAMENTO']
6726;['ADMINISTRAÇÃO FEDERAL']
6733;['ATO INTERNACIONAL']
6729;['ATO INTERNACIONAL']
6730;['ATO INTERNACIONAL']
6724;['POLITICA NACIONAL PARA ASSUNTOS ANTARTICOS  (POLANTAR)', 'ANTARTIDA']
6731;['ATO INTERNACIONAL']
6736;['ATO INTERNACIONAL']
