Numero;categoria
4070;['TRIBUTOS']
4068;['EMPRESA ESTATAL', 'GASTOS PUBLICOS']
4065;['DESESTATIZAÇÃO']
4069;['UNIÃO FEDERAL', 'ORÇAMENTO']
4067;['POLITICA ENERGETICA']
4066;['TRIBUTOS']
4064;['TRIBUTOS']
4063;['ADMINISTRAÇÃO FEDERAL', 'PESSOAL']
4060;['SEGURANÇA NACIONAL', 'TRANSPORTE AEREO']
4062;['PRODUTO NACIONAL', 'REPRESENTAÇÃO COMERCIAL']
4061;['UNIÃO FEDERAL', 'ORÇAMENTO']
4059;['POLITICA ENERGETICA']
4057;['TRIBUTOS']
4058;['LEGISLAÇÃO PREVIDENCIARIA', 'PREVIDENCIA SOCIAL']
4055;['ADMINISTRAÇÃO FEDERAL', 'ORÇAMENTO']
4056;['TRIBUTOS']
4053;['EXECUTIVO', 'ORGANIZAÇÃO ADMINISTRATIVA']
4052;['ADMINISTRAÇÃO FEDERAL', 'ORÇAMENTO']
4054;['PROGRAMA DE INCENTIVO']
4049;['REGISTRO CONTABIL', 'ORÇAMENTO']
4051;['UNIÃO FEDERAL', 'ORÇAMENTO']
4050;['ADMINISTRAÇÃO FEDERAL', 'PESSOAL']
4048;['FUNDO NACIONAL DE DESENVOLVIMENTO DA EDUCAÇÃO  (FNDE)', 'ORGANIZAÇÃO ADMINISTRATIVA']
4046;['ADMINISTRAÇÃO FEDERAL']
4047;['ADMINISTRAÇÃO FEDERAL', 'TRANSPORTE AEREO']
4044;['PLANO', 'SAUDE', 'SEGURO PRIVADO']
4045;['MEDICAMENTOS']
4043;['EXECUTIVO', 'ORGANIZAÇÃO ADMINISTRATIVA']
4039;['EXECUTIVO', 'ORGANIZAÇÃO ADMINISTRATIVA']
4040;['EXECUTIVO', 'PESSOAL']
4042;['ATO INTERNACIONAL']
4041;['SEGUROS']
4037;['AGENCIA REGULADORA', 'REGULAMENTO']
4036;['ADMINISTRAÇÃO FEDERAL']
4035;['ENSINO SUPERIOR', 'BOLSA DE ESTUDO']
4033;['EMPRESA DE PROCESSAMENTO DE DADOS DA PREVIDENCIA SOCIAL  (DATAPREV)', 'ESTATUTO']
4034;['FORÇAS ARMADAS', 'MARINHA', 'PROMOÇÃO', 'PESSOAL MILITAR']
4032;['PREVIDENCIA SOCIAL']
4031;['UNIÃO FEDERAL', 'ORÇAMENTO']
4030;['POLITICA ENERGETICA']
4027;['EXECUTIVO', 'PESSOAL']
4026;['SEGURANÇA NACIONAL', 'TRANSPORTE AEREO']
4029;['MARINHA', 'PESSOAL MILITAR']
4028;['TRIBUTOS']
4025;['TELECOMUNICAÇÃO']
4024;['POLITICA DO MEIO AMBIENTE']
4023;['PROGRAMA NACIONAL DE DESESTATIZAÇÃO']
4020;['POLITICA AGRICOLA', 'SUBVENÇÃO']
4021;['ATO INTERNACIONAL']
4019;['ENSINO SUPERIOR']
4022;['EMPRESA ESTATAL', 'GASTOS PUBLICOS']
4018;['EXECUTIVO', 'PESSOAL']
4016;['PROGRAMA NACIONAL DE DESESTATIZAÇÃO']
4015;['ATO INTERNACIONAL']
4017;['UNIÃO FEDERAL', 'ORÇAMENTO']
4013;['ATO INTERNACIONAL']
4014;['EMPRESA ESTATAL', 'GASTOS PUBLICOS']
4012;['ATO INTERNACIONAL']
4011;['INDULTO']
4006;['ATO INTERNACIONAL']
4007;['ATO INTERNACIONAL']
4009;['DESESTATIZAÇÃO']
4008;['ATO INTERNACIONAL']
4005;['ATO INTERNACIONAL']
4010;['ADMINISTRAÇÃO FEDERAL', 'PESSOAL']
4004;['ADMINISTRAÇÃO FEDERAL', 'PESSOAL']
4003;['PREVIDENCIA PRIVADA']
4002;['ADMINISTRAÇÃO FEDERAL', 'LICITAÇÃO']
4000;['EXECUTIVO', 'PESSOAL']
4001;['COMISSÃO NACIONAL']
3998;['FORÇAS ARMADAS', 'PESSOAL MILITAR', 'REGULAMENTO']
3999;['ADMINISTRAÇÃO FEDERAL', 'PESSOAL']
3997;['POLITICA SOCIAL']
3994;['EXECUTIVO', 'DELEGAÇÃO DE COMPETENCIA']
3995;['VALORES MOBILIARIOS']
3996;['ADMINISTRAÇÃO FEDERAL', 'TECNOLOGIA', 'INFORMAÇÕES']
3993;['POLITICA AGRICOLA']
3990;['SAUDE PUBLICA']
3992;['POLITICA RURAL', 'DESENVOLVIMENTO RURAL']
3991;['POLITICA AGRICOLA', 'Programa Nacional de Fortalecimento da Agricultura Familiar (PRONAF)']
3989;['ATO INTERNACIONAL']
3987;['FINANCIADORA DE ESTUDOS E PROJETOS  (FINEP)', 'ESTATUTO']
3988;['ATO INTERNACIONAL']
3986;['AGENCIA REGULADORA', 'REGULAMENTO']
3984;['ATO INTERNACIONAL']
3985;['SEGURANÇA PUBLICA']
3983;['POLITICA SOCIAL']
3981;['COMERCIO EXTERIOR']
3982;['POLITICA SOCIAL']
3980;['EXERCITO', 'REGULAMENTO', 'PROMOÇÃO']
