Numero;categoria
4562;['POLITICA ENERGETICA']
4563;['EXERCICIO PROFISSIONAL', 'PUBLICITARIO']
4561;['UNIÃO FEDERAL', 'REGISTRO CONTABIL']
4555;['EXECUTIVO', 'PESSOAL']
4559;['CENTRAIS ELETRICAS BRASILEIRAS S/A  (ELETROBRAS)', 'ESTATUTO']
4558;['PORTO ORGANIZADO', 'ZONA PORTUARIA']
4556;['POLITICA CULTURAL']
4557;['ATO INTERNACIONAL']
4560;['EXERCICIO PROFISSIONAL']
4550;['POLITICA ENERGETICA', 'ENERGIA ELETRICA']
4554;['PORTO ORGANIZADO', 'ZONA PORTUARIA']
4552;['LEGISLAÇÃO TRABALHISTA']
4553;['POLITICA NACIONAL', 'ARQUIVO PUBLICO', 'ARQUIVO PRIVADO']
4548;['EXECUTIVO', 'ORGANIZAÇÃO ADMINISTRATIVA']
4547;['ADMINISTRAÇÃO FEDERAL', 'PESSOAL']
4549;['AERONAUTICA', 'ORGANIZAÇÃO ADMINISTRATIVA']
4551;['POLITICA ENERGETICA']
4544;['LEGISLAÇÃO TRIBUTARIA']
4546;['ADMINISTRAÇÃO FEDERAL', 'ORÇAMENTO']
4543;['LEGISLAÇÃO ADUANEIRA']
4542;['TRIBUTOS']
4545;['BANCOS', 'SIGILO BANCARIO']
4541;['POLITICA ENERGETICA']
4538;['POLITICA ENERGETICA', 'ENERGIA ELETRICA', 'SUBSIDIOS']
4540;['ADMINISTRAÇÃO FEDERAL', 'PESSOAL']
4539;['SEGUROS']
4535;['CASA CIVIL', 'ORGANIZAÇÃO ADMINISTRATIVA']
4536;['SECRETARIA ESPECIAL', 'ORGANIZAÇÃO ADMINISTRATIVA']
4537;['COMISSÃO DE VALORES MOBILIARIOS']
4531;['POLICIA MILITAR', 'CORPO DE BOMBEIROS', 'REGULAMENTO']
4532;['EXECUTIVO', 'PESSOAL']
4534;['ATO INTERNACIONAL']
4533;['DIREITO AUTORAL']
4530;['MINISTERIO DA DEFESA', 'PESSOAL']
4527;['PRESIDENCIA DA REPUBLICA', 'ORGANIZAÇÃO ADMINISTRATIVA']
4529;['POLITICA ECONOMICO FINANCEIRA']
4528;['IMOVEL RESIDENCIAL', 'RESIDENCIA FUNCIONAL']
4526;['UNIÃO FEDERAL', 'REGISTRO CONTABIL']
4525;['ATO INTERNACIONAL']
4522;['PRESIDENCIA DA REPUBLICA', 'ATO NORMATIVO']
4524;['TRIBUTOS']
4523;['PROCESSO ADMINISTRATIVO FISCAL']
4520;['IMPRENSA NACIONAL', 'ATO OFICIAL']
4521;['IMPRENSA NACIONAL']
4519;['POLITICA DO MEIO AMBIENTE']
4515;['EXECUTIVO', 'PESSOAL']
4514;['Companhia Nacional de Abastecimento (CONAB)', 'ESTATUTO']
4513;['SISTEMA NACIONAL', 'COMBATE', 'DROGA']
4517;['EXECUTIVO', 'PESSOAL']
4518;['EXECUTIVO', 'PESSOAL']
4516;['EXECUTIVO', 'PESSOAL']
4512;['ADMINISTRAÇÃO FEDERAL', 'ORÇAMENTO']
4511;['ATO INTERNACIONAL']
4508;['ENERGIA ELETRICA', 'EQUIPAMENTOS']
4509;['INFORMATICA']
4510;['ATO INTERNACIONAL']
4505;['POLITICA ENERGETICA']
4507;['ADMINISTRAÇÃO FEDERAL', 'MATERIAL']
4506;['ADMINISTRAÇÃO FEDERAL', 'IMOVEL']
4503;['TELECOMUNICAÇÃO']
4502;['EXERCITO', 'CORPO DE OFICIAIS DA RESERVA DO EXERCITO  (CORE)', 'REGULAMENTO']
4504;['ADMINISTRAÇÃO FEDERAL', 'DELEGAÇÃO DE COMPETENCIA']
4501;['ADMINISTRAÇÃO FEDERAL']
4496;['LIBERDADE DE CRENÇA']
4500;['INSTITUTO NACIONAL', 'TECNOLOGIA', 'ORGANIZAÇÃO ADMINISTRATIVA']
4497;['EXECUTIVO', 'ARQUIVO PUBLICO', 'ARQUIVO PRIVADO']
4499;['OBRA FILANTROPICA']
4495;['INDULTO']
4498;['MARINHA', 'PESSOAL MILITAR']
4494;['TRIBUTOS']
4493;['ADMINISTRAÇÃO FEDERAL', 'PESSOAL']
4492;['FORÇAS ARMADAS', 'PESSOAL MILITAR']
4491;['POLITICA ENERGETICA', 'COMBUSTIVEL', 'SUBSIDIOS']
4489;['BANCOS', 'SIGILO BANCARIO']
4490;['CORREGEDORIA GERAL', 'ORGANIZAÇÃO ADMINISTRATIVA']
4488;['TRIBUTOS']
4487;['EMPRESA ESTATAL', 'GASTOS PUBLICOS']
4483;['PROGRAMA NACIONAL DE APOIO A CULTURA  (PRONAC)', 'POLITICA CULTURAL']
4485;['ADMINISTRAÇÃO PUBLICA', 'LICITAÇÃO']
4486;['PROGRAMA DE INCENTIVO', 'PRODUÇÃO AGROPECUARIA']
4484;['EMPRESA ESTATAL', 'GASTOS PUBLICOS']
4482;['IMPRENSA NACIONAL', 'ORGANIZAÇÃO ADMINISTRATIVA']
4480;['DESESTATIZAÇÃO']
4481;['SAUDE PUBLICA', 'ASSISTENCIA SOCIAL']
4477;['ATO INTERNACIONAL']
4478;['EXECUTIVO', 'PESSOAL']
4479;['ADMINISTRAÇÃO FEDERAL', 'ORÇAMENTO', 'LICITAÇÃO']
4476;['ATO INTERNACIONAL']
4474;['FUNDAÇÃO CULTURAL PALMARES  (FCP)', 'ESTATUTO']
4475;['POLITICA ENERGETICA']
4473;['ATO INTERNACIONAL']
4471;['EXECUTIVO', 'ORGANIZAÇÃO ADMINISTRATIVA']
4472;['ATO INTERNACIONAL']
4468;['ADMINISTRAÇÃO FEDERAL', 'PESSOAL']
4469;['CENTRAIS ELETRICAS BRASILEIRAS S/A  (ELETROBRAS)', 'ESTATUTO']
4466;['ADMINISTRAÇÃO FEDERAL', 'ORÇAMENTO', 'LICITAÇÃO']
4465;['ENSINO SUPERIOR']
4467;['EXECUTIVO', 'PESSOAL']
4470;['UNIÃO FEDERAL', 'ORÇAMENTO']
4464;['EMPRESA ESTATAL', 'GASTOS PUBLICOS']
4463;['ATO INTERNACIONAL']
4462;['POLITICA AGRICOLA', 'SUBVENÇÃO']
4461;['EXECUTIVO', 'PESSOAL']
4459;['ATO INTERNACIONAL']
4460;['ATO INTERNACIONAL']
4458;['ATO INTERNACIONAL']
4457;['MINISTERIO DO ESPORTE E TURISMO  (MET)', 'CONSELHO NACIONAL DE TURISMO  (CNTUR)']
4456;['POLITICA CULTURAL', 'CINEMA']
4455;['TRIBUTOS']
4454;['PRESIDENCIA DA REPUBLICA', 'ORGANIZAÇÃO ADMINISTRATIVA']
4450;['REGISTRO CONTABIL', 'ORÇAMENTO']
4451;['PRESIDENCIA DA REPUBLICA', 'ORGANIZAÇÃO ADMINISTRATIVA']
4453;['EXERCITO', 'PESSOAL MILITAR']
4452;['PRESIDENCIA DA REPUBLICA', 'ORGANIZAÇÃO ADMINISTRATIVA']
4449;['IMOVEL RURAL']
4447;['MARINHA', 'CERIMONIAL MILITAR']
4448;['EXECUTIVO', 'PESSOAL']
4446;['PROGRAMA NACIONAL DE DESESTATIZAÇÃO']
4445;['ATO INTERNACIONAL']
4444;['ATO INTERNACIONAL']
4443;['ATO INTERNACIONAL']
4441;['TRIBUTOS']
4440;['SISTEMA DE CONTROLE INTERNO DO PODER EXECUTIVO']
4442;['EXECUTIVO', 'PESSOAL']
4438;['TELECOMUNICAÇÃO']
