,Word,Qtd_total,Qtd_interdocumental,stopword
0,,289627,5294,0
1,art,63400,5294,1
2,decretar,41258,5294,1
3,n,37251,5112,1
4,ser,35473,3905,1
5,pelar,32424,3449,1
6,parir,30167,3933,0
7,repúblico,22463,5294,1
8,1,19733,5285,0
9,2,16973,5272,0
10,ir,15907,3421,1
11,i,15256,2788,0
12,dar,14160,2640,1
13,ministério,14088,2327,0
14,lei,13269,2920,0
15,suar,13261,5248,0
16,nacional,12717,2893,1
17,dispor,12053,4144,1
18,3,11512,4097,0
19,entrar,11064,5280,0
20,poder,10840,2521,0
21,iv,10794,4708,0
22,caput,10755,3114,1
23,incisar,10334,4430,1
24,público,10293,1771,0
25,estar,9777,2398,1
26,tratar,9681,2447,1
27,iii,9508,2228,0
28,órgão,9488,1692,0
29,ter,9201,3325,1
30,datar,8890,5213,0
31,sobrar,8303,3223,1
32,4,8017,2980,0
33,federal,7695,1787,1
34,presidente,7524,5290,1
35,dever,7318,1866,0
36,ficar,7262,3440,1
37,usar,7261,5290,0
38,cargo,7155,1568,0
39,publicação,7127,5100,1
40,gestão,6853,1574,0
41,atribuição,6802,5283,0
42,vigor,6771,5263,1
43,único,6644,2315,0
44,parágrafo,6490,2490,1
45,constituição,6440,5288,1
46,serviço,6357,1347,0
47,vir,6336,2998,1
48,secretariar,6144,1567,0
49,entidade,6133,1194,0
50,referir,6125,2283,0
51,formar,5998,2066,1
52,brasília,5941,5232,1
53,5,5927,2581,0
54,desenvolvimento,5855,1235,0
55,dezembro,5771,2552,0
56,brasil,5741,1544,1
57,prazo,5726,1689,0
58,seguinte,5723,2781,1
59,comissão,5618,1238,0
60,outro,5614,2101,0
61,acordar,5483,1432,0
62,conferir,5472,5293,1
63,84,5344,5291,1
64,anexar,5322,1932,1
65,comer,5320,1826,0
66,redação,5273,1079,0
67,independência,5266,5246,1
68,considerar,5238,2040,0
69,recurso,5207,1096,0
70,6,5152,2401,0
71,revogar,5064,1834,0
72,programar,4975,1040,0
73,conselho,4965,1070,0
74,mear,4926,1956,0
75,nr,4833,1437,1
76,v,4794,1554,0
77,previsto,4792,1481,0
78,aprovar,4781,2490,0
79,social,4700,1168,0
80,2019,4616,754,0
81,incluir,4456,782,0
82,casar,4384,1211,0
83,dia,4342,1458,0
84,informação,4230,911,0
85,atividades,4215,1040,0
86,termo,4185,1776,0
87,contar,4101,1457,0
88,união,4063,1423,0
89,pessoa,3979,657,0
90,sistema,3944,1001,0
91,produto,3939,514,0
92,governar,3922,1111,1
93,administração,3880,1173,1
94,técnico,3831,1048,0
95,7,3773,1922,0
96,direito,3759,968,0
97,visto,3744,3046,0
98,área,3709,787,0
99,ministrar,3708,1404,0
100,federativo,3636,1045,0
101,observar,3636,1264,0
102,financeiro,3615,991,0
103,avaliação,3601,575,0
104,9,3600,1836,0
105,planejamento,3600,1335,0
106,8,3555,1828,0
107,empresar,3544,731,0
108,superior,3511,1385,0
109,10,3510,1636,0
110,respectivo,3496,1465,0
111,inciso,3493,2045,1
112,execução,3490,1444,0
113,representante,3482,756,0
114,função,3452,1126,0
115,partir,3433,1272,0
116,artigo,3422,1504,0
117,exercício,3316,1262,0
118,bem,3316,945,0
119,segurança,3302,667,0
120,ações,3284,857,0
121,atar,3281,1087,0
122,comitê,3240,509,0
123,alínea,3196,2468,1
124,presidência,3194,801,0
125,político,3129,745,0
126,b,3076,1078,0
127,valor,3049,716,0
128,realizar,3031,995,0
129,unidade,3022,795,0
130,cada,3007,1027,0
131,brasileiro,2998,1083,0
132,maio,2996,1784,0
133,estabelecido,2984,1050,0
134,civil,2946,903,0
135,membro,2925,685,0
136,junho,2921,1669,0
137,ano,2909,873,0
138,especial,2890,907,0
139,fim,2883,982,0
140,dois,2868,1180,0
141,janeiro,2868,1499,0
142,relação,2855,1229,0
143,jurídico,2853,875,0
144,vigência,2846,714,1
145,cento,2842,913,0
146,orçamentar,2789,1132,0
147,julho,2761,1509,0
148,qualquer,2757,1031,0
149,11,2753,1524,0
150,necessário,2713,1168,0
151,estabelecer,2686,1174,0
152,neste,2679,996,0
153,novembro,2660,1536,0
154,vii,2638,1109,0
155,registrar,2634,540,0
156,definir,2633,954,0
157,exterior,2626,686,0
158,educação,2620,471,0
159,agostar,2619,1660,0
160,estruturar,2608,1018,0
161,relativo,2583,1020,0
162,âmbito,2575,1118,0
163,complementar,2567,1379,0
164,passar,2562,1745,0
165,12,2557,1567,0
166,indicar,2526,1240,0
167,setembro,2503,1490,0
168,trabalhar,2500,620,0
169,instituição,2492,640,0
170,operação,2455,589,0
171,titular,2429,1122,0
172,2009,2419,823,0
173,outubro,2412,1499,0
174,servidor,2392,483,0
175,medir,2390,984,0
176,condição,2382,808,0
177,regulamentar,2370,1181,0
178,conformar,2353,1023,0
179,administrativo,2347,935,0
180,2003,2333,1014,0
181,hipótese,2332,713,0
182,procedimento,2327,751,0
183,2004,2300,899,0
184,processar,2288,745,0
185,saudar,2271,478,0
186,competência,2247,1013,0
187,vigorar,2245,1689,0
188,mediante,2244,1052,0
189,2007,2218,765,0
190,alteração,2203,1280,0
191,resultar,2185,1167,0
192,planar,2174,768,0
193,13,2160,1285,0
194,2002,2147,893,0
195,mínimo,2134,735,0
196,c,2120,888,0
197,atos,2119,1256,0
198,2016,2116,640,0
199,defeso,2115,615,0
200,pagamento,2115,618,0
201,março,2110,1318,0
202,tecnologia,2104,547,0
203,2008,2104,727,0
204,inclusive,2098,1133,0
205,contratar,2094,453,0
206,15,2077,1155,0
207,2001,2067,909,0
208,14,2067,1179,0
209,destinar,2066,806,0
210,aplicação,2055,739,0
211,econômica,2055,598,0
212,fevereiro,2051,1262,0
213,pontar,2049,107,0
214,viii,2045,1013,0
215,2006,2031,808,0
216,2017,2027,573,0
217,abril,2021,1220,0
218,critério,2019,765,0
219,projetos,2011,538,0
220,desempenhar,2005,406,0
221,cincar,2003,923,0
222,crédito,1997,522,0
223,específico,1996,804,0
224,gestor,1986,414,0
225,30,1979,1114,0
226,apoiar,1977,676,0
227,controlo,1964,659,0
228,norma,1954,766,0
229,internar,1953,952,0
230,base,1952,840,0
231,demais,1949,876,0
232,18,1939,1101,0
233,capítulo,1929,357,0
234,firmar,1927,899,0
235,cumprimentar,1909,906,0
236,armar,1902,245,0
237,2010,1897,683,0
238,2011,1891,608,0
239,interessar,1880,655,0
240,aplicar,1872,725,0
241,relacionar,1866,838,0
242,nível,1856,838,0
243,após,1854,1004,0
244,quadrar,1852,781,0
245,efeito,1850,781,0
246,alterar,1841,1500,0
247,25,1839,1056,0
248,16,1836,1188,0
249,19,1832,1053,0
250,20,1829,1025,0
251,energia,1818,328,0
252,período,1811,661,0
253,fazenda,1809,647,0
254,concessão,1808,498,0
255,vinte,1801,928,0
256,instituir,1799,830,0
257,receitar,1775,438,0
258,executivo,1772,695,0
259,participação,1762,757,0
260,fiscal,1757,450,0
261,28,1746,1171,0
262,21,1735,1080,0
263,31,1732,904,0
264,pesquisar,1723,452,0
265,três,1723,886,0
266,aprovação,1715,1300,0
267,despesa,1714,556,0
268,r,1712,451,0
269,17,1710,1047,0
270,militar,1702,346,0
271,município,1700,503,0
272,trintar,1698,969,0
273,proposto,1697,576,0
274,internacional,1697,657,0
275,arts,1696,924,0
276,integrar,1694,782,0
277,autoridade,1683,491,0
278,caber,1680,781,0
279,apresentar,1677,595,0
280,2013,1677,515,0
281,26,1670,945,0
282,organização,1659,603,0
283,27,1659,1102,0
284,real,1652,457,0
285,constante,1652,840,0
286,2000,1651,821,0
287,umar,1638,730,0
288,ambientar,1632,417,0
289,garantir,1631,599,0
290,decorrente,1623,1021,0
291,23,1620,1023,0
292,comércio,1619,436,0
293,novo,1616,873,0
294,29,1616,984,0
295,todo,1614,736,0
296,22,1612,972,0
297,oficial,1605,784,0
298,integrante,1598,774,0
299,providência,1596,1385,0
300,2005,1593,687,0
301,autorização,1591,372,0
302,assessoramento,1587,863,0
303,regimental,1585,584,0
304,competir,1580,731,0
305,2018,1575,537,0
306,promoção,1569,462,0
307,acesso,1569,423,0
308,responsável,1567,643,0
309,portar,1562,404,0
310,autorizar,1559,655,0
311,valorar,1556,593,0
312,mês,1552,503,0
313,benefício,1531,354,0
314,conter,1521,995,0
315,24,1515,880,0
316,sociedade,1512,525,0
317,desde,1502,671,0
318,promover,1497,645,0
319,ciência,1493,464,0
320,institucional,1488,401,0
321,prever,1485,839,0
322,congresso,1481,850,0
323,comunicação,1480,465,0
324,contribuição,1477,352,0
325,distrito,1476,557,0
326,2012,1476,492,0
327,país,1475,494,0
328,ix,1468,764,0
329,x,1454,701,0
330,produção,1454,462,0
331,patrimônio,1450,865,0
332,agricultura,1445,338,0
333,reunião,1440,446,0
334,diretrizes,1437,545,0
335,empregar,1437,467,0
336,utilizar,1436,592,0
337,rural,1428,218,0
338,cumprir,1421,995,0
339,executar,1420,1065,0
340,disposição,1414,615,0
341,prestação,1405,591,0
342,promulgar,1404,914,0
343,caráter,1402,633,0
344,federar,1395,566,0
345,projeto,1394,298,0
346,legislação,1394,605,0
347,número,1394,782,0
348,beneficiário,1393,302,0
349,privar,1391,558,0
350,máximo,1388,553,0
351,anexo,1371,805,0
352,designar,1368,700,0
353,sob,1362,629,0
354,protocolo,1359,409,0
355,d,1350,685,0
356,coordenar,1342,536,0
357,2014,1324,377,0
358,implementação,1312,540,0
359,estabelecimento,1312,315,0
360,publicar,1308,834,0
361,complementação,1308,308,0
362,humano,1306,381,0
363,integração,1305,647,0
364,compromisso,1295,826,0
365,profissional,1295,339,0
366,regimentar,1289,704,0
367,atividade,1281,413,0
368,regime,1281,436,0
369,básico,1280,491,0
370,diário,1279,727,0
371,pessoal,1278,568,0
372,transferência,1278,489,0
373,cooperação,1275,489,0
374,provisório,1274,559,0
375,decisão,1271,460,0
376,fundir,1268,439,0
377,haver,1266,500,0
378,limitar,1264,578,0
379,realização,1260,583,0
380,investimento,1249,349,0
381,justiçar,1247,380,0
382,demonstrativo,1238,672,0
383,requisito,1237,440,0
384,competente,1233,396,0
385,1980,1233,442,0
386,2015,1231,449,0
387,fixar,1225,620,0
388,quatro,1218,664,0
389,cujo,1209,627,0
390,inovação,1207,296,0
391,fazer,1207,815,0
392,montevidéu,1206,282,0
393,preço,1206,274,0
394,acompanhar,1200,593,0
395,meter,1199,356,0
396,elaborar,1198,570,0
397,objeto,1196,464,0
398,limite,1185,534,0
399,previdência,1185,296,0
400,tecnológico,1184,308,0
401,aquisição,1181,355,0
402,atendimento,1178,457,0
403,s,1178,274,0
404,instalação,1172,291,0
405,seção,1166,202,0
406,ocorrer,1163,837,0
407,correspondente,1148,536,0
408,situação,1147,466,0
409,mil,1144,345,0
410,físico,1143,388,0
411,peno,1142,177,0
412,ensinar,1137,271,0
413,instituto,1132,503,0
414,suplente,1131,438,0
415,fcpe,1131,132,0
416,assistência,1130,369,0
417,criar,1128,822,0
418,primeiro,1123,444,0
419,imóvel,1110,186,0
420,abastecimento,1106,328,0
421,economia,1104,361,0
422,oficiar,1103,307,0
423,prestar,1099,558,0
424,documento,1094,356,0
425,utilização,1092,437,0
426,fiscalização,1092,373,0
427,constituir,1084,553,0
428,cadastrar,1082,281,0
429,propor,1080,453,0
430,forçar,1077,440,0
431,estadual,1073,445,0
432,modalidade,1073,524,0
433,legislativo,1072,904,0
434,natureza,1072,518,0
435,agente,1058,347,0
436,exército,1051,184,0
437,banco,1049,387,0
438,indústria,1047,351,0
439,prejuízo,1046,554,0
440,próprio,1043,517,0
441,vincular,1038,501,0
442,somente,1038,492,0
443,finalidade,1034,563,0
444,qualidade,1034,486,0
445,sujeito,1032,822,0
446,tempo,1032,428,0
447,título,1030,361,0
448,celebrar,1030,498,0
449,revisão,1025,774,0
450,vago,1023,583,0
451,anterior,1022,496,0
452,financiamento,1012,354,0
453,referente,1006,580,0
454,uruguai,1005,233,0
455,grupar,998,357,0
456,mercar,991,357,0
457,contratação,990,328,0
458,direta,988,480,0
459,ambiental,987,171,0
460,caso,987,509,0
461,funcionamento,986,539,0
462,agência,986,482,0
463,quantum,979,514,0
464,impor,978,333,0
465,obrigação,975,394,0
466,oriental,975,226,0
467,acompanhamento,970,422,0
468,participar,967,525,0
469,relatório,966,404,0
470,pedir,965,326,0
471,departamento,965,277,0
472,contrato,963,329,0
473,fogo,960,30,0
474,pecuário,953,260,0
475,transportar,951,272,0
476,dez,950,521,0
477,resolução,950,363,0
478,adicional,948,339,0
479,gerar,947,495,0
480,1999,946,491,0
481,efetivo,942,285,0
482,individual,939,173,0
483,confiança,934,282,0
484,orçamentária,933,485,0
485,conjuntar,932,454,0
486,multar,931,164,0
487,cópia,924,726,0
488,sessenta,924,549,0
489,exercer,921,482,0
490,xi,919,522,0
491,estudo,918,394,0
492,encargo,914,742,0
493,material,913,299,0
494,seis,912,566,0
495,chefe,910,363,0
496,municipal,906,352,0
497,encaminhar,905,494,0
498,central,905,315,0
499,unir,901,257,0
500,disciplinar,899,409,0
501,atuação,898,401,0
502,proteção,897,290,0
503,regional,896,351,0
504,atender,891,469,0
505,responsabilidade,890,453,0
506,análise,887,395,0
507,w,886,14,0
508,agrário,874,196,0
509,formação,873,294,0
510,processo,871,347,0
511,reservar,869,244,0
512,parcelar,868,271,0
513,gratificar,868,434,0
514,permanente,867,372,0
515,objetivos,865,413,0
516,importação,862,211,0
517,percentual,862,336,0
518,ministro,860,375,0
519,argentino,857,215,0
520,familiar,856,170,0
521,compor,851,520,0
522,ainda,847,469,0
523,1997,846,417,0
524,permitir,843,420,0
525,governo,841,293,0
526,aeronáutico,838,142,0
527,infração,834,162,0
528,família,832,165,0
529,determinar,827,407,0
530,cultura,826,215,0
531,1998,825,370,0
532,código,825,286,0
533,ocupante,824,412,0
534,total,824,404,0
535,obrar,823,197,0
536,anual,820,382,0
537,coordenação,815,394,0
538,convenção,811,188,0
539,câmara,804,245,0
540,assegurar,803,475,0
541,exportação,803,159,0
542,49,801,684,0
543,elaboração,801,399,0
544,segurar,798,271,0
545,vender,797,216,0
546,setor,796,318,0
547,classificação,795,231,0
548,manter,795,396,0
549,avaliar,792,431,0
550,ente,790,327,0
551,associação,787,440,0
552,temporário,783,341,0
553,combater,783,236,0
554,assim,782,567,0
555,conhecimento,780,331,0
556,comandar,778,187,0
557,apresentação,772,334,0
558,noventa,771,558,0
559,estatuto,768,302,0
560,secretário,766,361,0
561,distribuição,765,312,0
562,comprovar,764,338,0
563,paraguai,759,204,0
564,emitir,758,371,0
565,dirigente,758,432,0
566,indicação,757,342,0
567,curso,757,141,0
568,mencionar,755,489,0
569,habilitação,754,181,0
570,seguir,752,270,0
571,linha,751,144,0
572,juntar,750,404,0
573,prático,744,310,0
574,rir,744,199,0
575,elétrica,738,160,0
576,natural,737,231,0
577,polícia,736,140,0
578,render,736,245,0
579,oito,733,425,0
580,alíquota,730,203,0
581,remanejados,726,585,0
582,parceria,723,234,0
583,nele,722,669,0
584,marinho,720,165,0
585,empreendimento,719,179,0
586,solicitar,718,391,0
587,1996,718,358,0
588,mulher,717,168,0
589,assunto,717,319,0
590,carreira,716,200,0
591,identificação,714,286,0
592,além,713,441,0
593,território,712,385,0
594,produzir,712,411,0
595,expedir,711,377,0
596,exigência,711,264,0
597,classificar,711,261,0
598,decorrência,710,587,0
599,apostilamentos,709,427,0
600,vedar,708,376,0
601,documentar,708,246,0
602,xii,707,449,0
603,fundação,707,324,0
604,ajuste,704,632,0
605,respeitar,703,397,0
606,41,703,138,0
607,plano,701,253,0
608,assinar,699,369,0
609,instrumentar,698,319,0
610,nação,698,193,0
611,requerimento,696,234,0
612,constar,692,453,0
613,instrumento,691,367,0
614,operacional,691,312,0
615,comunidade,688,222,0
616,equipamento,686,247,0
617,gabinete,685,221,0
618,texto,684,570,0
619,f,683,395,0
620,legar,682,359,0
621,exigir,680,344,0
622,declaração,678,280,0
623,votar,676,272,0
624,econômico,674,270,0
625,médio,674,279,0
626,editar,673,520,0
627,1014,671,441,0
628,final,671,325,0
629,matéria,669,343,0
630,estratégico,667,259,0
631,licitação,667,160,0
632,incidente,666,244,0
633,igual,665,349,0
634,remuneração,664,293,0
635,dispensar,662,364,0
636,denominação,659,516,0
637,1993,658,296,0
638,pescar,657,85,0
639,infraestrutura,656,217,0
640,dotação,656,340,0
641,monitoramento,656,257,0
642,acarretar,654,635,0
643,científico,653,212,0
644,prévio,653,334,0
645,equivalente,651,311,0
646,1990,649,341,0
647,geral,647,296,0
648,presentar,647,612,0
649,sempre,645,415,0
650,composição,643,384,0
651,estrangeiro,643,250,0
652,suspensão,642,173,0
653,manutenção,641,373,0
654,gratificação,640,146,0
655,trabalhador,638,172,0
656,objetivo,635,377,0
657,legal,635,277,0
658,origem,634,234,0
659,grupo,633,277,0
660,ofertar,633,222,0
661,orçamentárias,631,303,0
662,cursar,630,221,0
663,alcançar,629,321,0
664,digital,628,183,0
665,cálculo,628,273,0
666,tesourar,628,220,0
667,minar,628,219,0
668,xiii,626,403,0
669,redar,626,239,0
670,escola,626,136,0
671,quantitativo,625,325,0
672,articulação,624,291,0
673,montante,624,265,0
674,sete,623,415,0
675,local,623,272,0
676,visar,622,378,0
677,representar,621,427,0
678,capital,620,210,0
679,concedido,619,275,0
680,interministerial,618,174,0
681,relevante,617,453,0
682,aplicável,617,368,0
683,dispositivo,617,427,0
684,necessidade,616,364,0
685,conformidade,616,306,0
686,comandante,615,190,0
687,diretamente,614,344,0
688,devido,614,302,0
689,ação,612,310,0
690,normativo,611,257,0
691,pequeno,610,166,0
692,diretoria,610,160,0
693,eletrônico,608,256,0
694,ordem,606,252,0
695,mensal,604,294,0
696,redução,603,241,0
697,consumidor,603,142,0
698,remunerar,602,424,0
699,tabelar,602,337,0
700,capacitação,599,228,0
701,exclusivamente,599,368,0
702,mercosul,597,194,0
703,1991,597,286,0
704,médico,597,149,0
705,durante,597,336,0
706,receber,594,341,0
707,veículo,593,132,0
708,deficiência,592,118,0
709,sanção,590,261,0
710,turismo,587,133,0
711,dessar,582,383,0
712,cultural,581,171,0
713,região,581,239,0
714,conservação,580,165,0
715,ordinário,579,278,0
716,convênios,579,288,0
717,produtivo,578,169,0
718,último,578,314,0
719,apurar,576,279,0
720,gravoso,574,574,0
721,centrar,573,227,0
722,quarentar,569,360,0
723,1013,568,389,0
724,organizar,567,250,0
725,custo,567,230,0
726,apenso,567,566,0
727,inclusão,563,305,0
728,sustentável,563,167,0
729,informar,563,278,0
730,emissão,561,236,0
731,nominal,559,479,0
732,comum,559,274,0
733,industrial,558,188,0
734,habilitar,557,163,0
735,certificar,555,186,0
736,comissionar,552,258,0
737,penalidade,549,171,0
738,comercial,547,197,0
739,produtor,546,135,0
740,oitenta,544,336,0
741,tão,544,543,0
742,convocar,543,289,0
743,capacidade,542,247,0
744,solicitação,542,287,0
745,portuário,542,54,0
746,exceto,541,303,0
747,representação,540,262,0
748,transporte,539,175,0
749,bolsar,538,103,0
750,incra,536,57,0
751,apuração,535,230,0
752,segundar,533,286,0
753,criação,532,301,0
754,regrar,532,293,0
755,substituir,531,394,0
756,mandatar,531,234,0
757,deixar,531,301,0
758,conceder,531,242,0
759,inteiramente,531,529,0
760,extraordinário,530,304,0
761,identificar,528,290,0
762,usuário,527,143,0
763,eventual,525,304,0
764,fato,524,206,0
765,10087,524,23,0
766,maioria,522,270,0
767,evento,522,181,0
768,propriedade,521,199,0
769,noto,520,191,0
770,milhão,519,235,0
771,comprovação,519,259,0
772,localizar,518,176,0
773,início,517,266,0
774,aduaneiro,517,117,0
775,espécie,516,147,0
776,contra,516,218,0
777,mercadoria,515,129,0
778,1012,513,335,0
779,corpo,513,153,0
780,1024,512,359,0
781,transmissão,512,106,0
782,40,512,171,0
783,inscrição,511,184,0
784,repassar,511,193,0
785,recebimento,510,249,0
786,resíduo,510,44,0
787,xiv,509,331,0
788,1022,508,339,0
789,cidade,508,205,0
790,disponibilizar,507,257,0
791,divulgar,507,342,0
792,comercialização,507,178,0
793,1023,506,353,0
794,classe,504,133,0
795,terra,502,88,0
796,urbano,501,113,0
797,definição,501,307,0
798,fomentar,498,215,0
799,g,496,298,0
800,quinze,495,326,0
801,nome,494,233,0
802,incentivar,494,212,0
803,doze,493,300,0
804,água,493,125,0
805,programação,492,259,0
806,estatal,492,106,0
807,criança,490,80,0
808,movimentação,490,236,0
809,convidar,488,325,0
810,vidar,487,268,0
811,referência,487,195,0
812,obrigatório,483,260,0
813,impressão,483,458,0
814,ponto,483,89,0
815,mecanismo,482,239,0
816,encontrar,481,263,0
817,trabalho,481,271,0
818,qualificação,480,198,0
819,respectivamente,479,322,0
820,1021,478,327,0
821,inferior,477,255,0
822,existente,476,288,0
823,extinto,476,241,0
824,coordenador,475,179,0
825,implantação,475,226,0
826,transferir,474,248,0
827,deliberação,474,255,0
828,adoção,473,314,0
829,1994,473,217,0
830,interno,473,302,0
831,liquidação,472,140,0
832,adquirir,472,197,0
833,acrescer,472,317,0
834,ipi,471,118,0
835,tributário,470,161,0
836,edital,469,138,0
837,setoriais,469,172,0
838,julgamento,467,176,0
839,impedimento,466,286,0
840,intermédio,466,308,0
841,feito,466,287,0
842,fundo,465,183,0
843,divulgação,464,265,0
844,fonte,464,183,0
845,maior,463,242,0
846,postar,463,84,0
847,associar,462,169,0
848,carga,462,115,0
849,simples,461,278,0
850,cessão,459,154,0
851,esporte,458,101,0
852,regular,457,270,0
853,previamente,456,291,0
854,adesão,456,158,0
855,adequar,453,247,0
856,parcial,451,224,0
857,porto,451,93,0
858,reformar,449,136,0
859,orientação,448,240,0
860,pi,448,103,0
861,inss,447,117,0
862,prorrogar,447,288,0
863,auditoria,447,143,0
864,governamental,445,232,0
865,presidir,445,318,0
866,plenipotenciário,445,256,0
867,padrão,444,189,0
868,nove,442,276,0
869,inteligência,441,84,0
870,documentação,438,200,0
871,condicionar,436,313,0
872,débito,436,120,0
873,ausência,435,304,0
874,exercido,435,321,0
875,implementar,434,270,0
876,condenar,434,69,0
877,possuir,433,237,0
878,131,432,417,0
879,admitir,431,237,0
880,camex,431,38,0
881,licença,431,127,0
882,1011,431,281,0
883,quantidade,430,206,0
884,riscar,430,167,0
885,50,428,309,0
886,útil,427,218,0
887,pago,427,212,0
888,atingir,426,126,0
889,margem,426,60,0
890,estratégia,425,171,0
891,pertinente,423,280,0
892,9784,421,69,0
893,tratamento,421,181,0
894,tal,421,246,0
895,198,419,417,0
896,exploração,419,135,0
897,praticar,418,245,0
898,especificar,417,321,0
899,obtido,417,198,0
900,locar,416,200,0
901,característico,416,208,0
902,adir,416,32,0
903,35,415,208,0
904,submetido,414,256,0
905,seleção,413,168,0
906,proveniente,413,262,0
907,população,413,149,0
908,preferência,413,101,0
909,outorgar,413,153,0
910,horar,412,179,0
911,calcular,412,219,0
912,recolhimento,412,190,0
913,consultivo,410,162,0
914,devir,410,216,0
915,derivar,410,75,0
916,tipi,409,135,0
917,cinqüenta,408,207,0
918,prevenção,406,152,0
919,marítimo,406,62,0
920,externar,405,367,0
921,instrução,405,203,0
922,mantido,405,302,0
923,idoso,405,44,0
924,comunicar,405,203,0
925,taxar,404,175,0
926,consulto,404,191,0
927,regularização,403,96,0
928,zonar,403,119,0
929,1015,403,301,0
930,cronograma,403,232,0
931,adolescente,402,64,0
932,pagar,402,176,0
933,importar,401,133,0
934,certificação,401,99,0
935,xv,400,269,0
936,verificar,400,244,0
937,categoria,399,230,0
938,desenvolvido,398,243,0
939,anualmente,398,267,0
940,convênio,398,144,0
941,aperfeiçoamento,396,226,0
942,alimentar,396,81,0
943,ampliação,396,202,0
944,global,396,166,0
945,demandar,396,224,0
946,concessionário,395,88,0
947,arrecadação,394,137,0
948,aberto,392,173,0
949,amazônia,391,121,0
950,subvenção,391,70,0
951,envolvido,390,224,0
952,reduzir,390,227,0
953,processamento,390,173,0
954,comprar,390,138,0
955,delegar,388,244,0
956,orientar,388,213,0
957,reunir,386,230,0
958,reconhecimento,385,159,0
959,meio,385,256,0
960,devidamente,385,236,0
961,efetivos,385,220,0
962,participante,384,133,0
963,doação,384,125,0
964,remanejamento,384,300,0
965,grau,384,123,0
966,consumir,384,160,0
967,florestar,384,52,0
968,incorporar,383,270,0
969,isenção,383,101,0
970,181,383,380,0
971,114,379,378,0
972,distrital,378,175,0
973,colegiado,378,207,0
974,vencimento,378,145,0
975,organismo,377,172,0
976,industrializar,377,170,0
977,menos,376,217,0
978,1995,376,203,0
979,razão,376,239,0
980,decreto,375,334,0
981,atribuir,375,207,0
982,fome,375,132,0
983,especialista,374,181,0
984,independentemente,374,248,0
985,geração,373,163,0
986,incidência,373,226,0
987,ressalvar,370,257,0
988,parâmetro,370,207,0
989,credenciamento,370,73,0
990,implicar,370,228,0
991,construção,369,164,0
992,controlar,369,169,0
993,antar,368,246,0
994,prorrogação,366,165,0
995,quadro,366,163,0
996,componente,366,122,0
997,vigente,365,248,0
998,abranger,363,214,0
999,princípio,363,197,0
1000,diretor,363,126,0
1001,penal,363,108,0
1002,telecomunicação,362,98,0
1003,cancelamento,361,138,0
1004,diverso,360,254,0
1005,aumentar,359,219,0
1006,educacional,358,111,0
1007,organizacional,358,198,0
1008,h,356,223,0
1009,auxiliar,356,187,0
1010,36,356,206,0
1011,temático,355,121,0
1012,iniciativo,355,223,0
1013,duração,355,232,0
1014,subsidiar,355,233,0
1015,embarcação,354,74,0
1016,empenhar,353,159,0
1017,adicionar,352,236,0
1018,setenta,352,230,0
1019,credenciado,351,110,0
1020,gás,351,95,0
1021,regulamentação,351,177,0
1022,excluir,350,208,0
1023,indireta,350,199,0
1024,instância,349,204,0
1025,parecer,349,169,0
1026,recuperação,349,148,0
1027,julgar,349,217,0
1028,provar,349,124,0
1029,concluir,349,195,0
1030,imediato,349,184,0
1031,ingressar,348,148,0
1032,desenvolver,347,228,0
1033,manifestação,347,204,0
1034,contemplar,347,231,0
1035,obter,347,203,0
1036,aviação,347,94,0
1037,aneel,346,93,0
1038,aéreo,346,112,0
1039,renovação,344,91,0
1040,pasep,344,96,0
1041,1966,343,134,0
1042,modo,342,216,0
1043,validade,341,151,0
1044,ampliar,340,213,0
1045,conselheiro,340,105,0
1046,ocorrência,340,183,0
1047,item,340,177,0
1048,composto,339,250,0
1049,declarar,339,184,0
1050,descumprimento,338,174,0
1051,automaticamente,338,272,0
1052,reconhecido,338,200,0
1053,designação,338,173,0
1054,indígena,337,92,0
1055,cinquenta,337,195,0
1056,embaixada,336,63,0
1057,acordo,335,211,0
1058,entregar,335,171,0
1059,sair,334,108,0
1060,conclusão,333,197,0
1061,conferência,333,100,0
1062,gq,333,3,0
1063,investigação,332,69,0
1064,37,332,182,0
1065,extinção,331,163,0
1066,33,330,221,0
1067,ativo,329,114,0
1068,atualização,328,183,0
1069,nuclear,328,47,0
1070,tradicional,328,55,0
1071,compreender,328,229,0
1072,cofins,328,88,0
1073,xvi,327,222,0
1074,zero,327,139,0
1075,fornecer,326,218,0
1076,39,326,168,0
1077,convocação,325,183,0
1078,custear,325,186,0
1079,temer,325,179,0
1080,destinação,325,150,0
1081,diplomático,325,93,0
1082,130,323,312,0
1083,116,323,314,0
1084,analisar,322,186,0
1085,sujeitar,322,137,0
1086,112,322,312,0
1087,ciclo,322,86,0
1088,183,322,316,0
1089,bruto,321,120,0
1090,obrigar,320,226,0
1091,fase,319,135,0
1092,auto,318,80,0
1093,financiar,318,114,0
1094,genético,318,24,0
1095,182,317,311,0
1096,transparência,317,149,0
1097,continuar,317,162,0
1098,122,317,310,0
1099,cooperativo,317,119,0
1100,reincidente,317,24,0
1101,observância,316,228,0
1102,sítio,315,186,0
1103,enquadrar,315,184,0
1104,supervisão,314,180,0
1105,contratual,314,152,0
1106,120,314,305,0
1107,fundamentar,313,213,0
1108,32,313,206,0
1109,grande,313,125,0
1110,menor,313,159,0
